LotFrontage,LotArea,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,TotRmsAbvGrd,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,MSZoning,LotShape,LandContour,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,Heating,CentralAir,Electrical,Functional,PavedDrive,SaleType,SaleCondition,MSSubClass,HeatingQC,KitchenQual,OverallQual,OverallCond,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,Fireplaces,GarageCars,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,GarageType,GarageFinish,GarageQual,GarageCond,Alley,FireplaceQu,GarageYrBlt,Fence
65.0,8450.0,2003.0,2003.0,196.0,706.0,150.0,856.0,856.0,854.0,1710.0,8.0,548.0,0.0,61.0,0.0,RL,Reg,Lvl,Inside,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,GasA,Y,SBrkr,Typ,Y,WD,Normal,60,Ex,Gd,7,5,1,2,1,3,1,0,2,Gd,TA,No,GLQ,Unf,Attchd,RFn,TA,TA,NoAlley,NoFireplace,2003.0,NoFence
80.0,9600.0,1976.0,1976.0,0.0,978.0,284.0,1262.0,1262.0,0.0,1262.0,6.0,460.0,298.0,0.0,0.0,RL,Reg,Lvl,FR2,Veenker,Feedr,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,GasA,Y,SBrkr,Typ,Y,WD,Normal,20,Ex,TA,6,8,0,2,0,3,1,1,2,Gd,TA,Gd,ALQ,Unf,Attchd,RFn,TA,TA,NoAlley,TA,1976.0,NoFence
68.0,11250.0,2001.0,2002.0,162.0,486.0,434.0,920.0,920.0,866.0,1786.0,6.0,608.0,0.0,42.0,0.0,RL,IR1,Lvl,Inside,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,GasA,Y,SBrkr,Typ,Y,WD,Normal,60,Ex,Gd,7,5,1,2,1,3,1,1,2,Gd,TA,Mn,GLQ,Unf,Attchd,RFn,TA,TA,NoAlley,TA,2001.0,NoFence
60.0,9550.0,1915.0,1970.0,0.0,216.0,540.0,756.0,961.0,756.0,1717.0,7.0,642.0,0.0,35.0,272.0,RL,IR1,Lvl,Corner,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,Wd Shng,None,TA,TA,BrkTil,GasA,Y,SBrkr,Typ,Y,WD,Abnorml,70,Gd,Gd,7,5,1,1,0,3,1,1,3,TA,Gd,No,ALQ,Unf,Detchd,Unf,TA,TA,NoAlley,Gd,1998.0,NoFence
84.0,14260.0,2000.0,2000.0,350.0,655.0,490.0,1145.0,1145.0,1053.0,2198.0,9.0,836.0,192.0,84.0,0.0,RL,IR1,Lvl,FR2,NoRidge,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,GasA,Y,SBrkr,Typ,Y,WD,Normal,60,Ex,Gd,8,5,1,2,1,4,1,1,3,Gd,TA,Av,GLQ,Unf,Attchd,RFn,TA,TA,NoAlley,TA,2000.0,NoFence
85.0,14115.0,1993.0,1995.0,0.0,732.0,64.0,796.0,796.0,566.0,1362.0,5.0,480.0,40.0,30.0,0.0,RL,IR1,Lvl,Inside,Mitchel,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,Wood,GasA,Y,SBrkr,Typ,Y,WD,Normal,50,Ex,TA,5,5,1,1,1,1,1,0,2,Gd,TA,No,GLQ,Unf,Attchd,Unf,TA,TA,NoAlley,NoFireplace,1993.0,MnPrv
75.0,10084.0,2004.0,2005.0,186.0,1369.0,317.0,1686.0,1694.0,0.0,1694.0,7.0,636.0,255.0,57.0,0.0,RL,Reg,Lvl,Inside,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,GasA,Y,SBrkr,Typ,Y,WD,Normal,20,Ex,Gd,8,5,1,2,0,3,1,1,2,Ex,TA,Av,GLQ,Unf,Attchd,RFn,TA,TA,NoAlley,Gd,2004.0,NoFence
69.0,10382.0,1973.0,1973.0,240.0,859.0,216.0,1107.0,1107.0,983.0,2090.0,7.0,484.0,235.0,204.0,228.0,RL,IR1,Lvl,Corner,NWAmes,PosN,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,Stone,TA,TA,CBlock,GasA,Y,SBrkr,Typ,Y,WD,Normal,60,Ex,TA,7,6,1,2,1,3,1,2,2,Gd,TA,Mn,ALQ,BLQ,Attchd,RFn,TA,TA,NoAlley,TA,1973.0,NoFence
51.0,6120.0,1931.0,1950.0,0.0,0.0,952.0,952.0,1022.0,752.0,1774.0,8.0,468.0,90.0,0.0,205.0,RM,Reg,Lvl,Inside,OldTown,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,BrkFace,Wd Shng,None,TA,TA,BrkTil,GasA,Y,FuseF,Min1,Y,WD,Abnorml,50,Gd,TA,7,5,0,2,0,2,2,2,2,TA,TA,No,Unf,Unf,Detchd,Unf,Fa,TA,NoAlley,TA,1931.0,NoFence
50.0,7420.0,1939.0,1950.0,0.0,851.0,140.0,991.0,1077.0,0.0,1077.0,5.0,205.0,0.0,4.0,0.0,RL,Reg,Lvl,Corner,BrkSide,Artery,Artery,2fmCon,1.5Unf,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,GasA,Y,SBrkr,Typ,Y,WD,Normal,190,Ex,TA,5,6,1,1,0,2,2,2,1,TA,TA,No,GLQ,Unf,Attchd,RFn,Gd,TA,NoAlley,TA,1939.0,NoFence
