"country_name","country_code","x1998","x1999","x2000","x2001","x2002","x2003","x2004","x2005","x2006","x2007","x2008","x2009","x2010","x2011","x2012","x2013"
"Afghanistan","AFG",2934,2902,2930,2887,3086,3100,3175,3466,3308,3849,4484,5545,7865,9429,9686,12003
"Albania","ALB",4596,4685,5827,7386,8608,11475,13645,15240,17465,19930,20995,22733,23813,25463,24470,24147
"Algeria","DZA",17459,17512,16417,15469,17233,21285,24666,24769,25013,23067,21987,22525,22850,23962,24701,20695
"Angola","AGO",5193,5343,5359,5900,6053,6838,7026,8020,8268,9428,6716,7923,7916,8044,7206,6946
"Argentina","ARG",5717,5862,6887,6875,7958,9495,8316,8277,8327,8345,9304,9034,9753,9320,8072,7166
"Armenia","ARM",1823,1826,1990,2419,2331,3151,2880,3428,3751,3914,5298,5417,6267,6906,6719,6493
"Austria","AUT",11573,11742,11862,11968,12596,12998,12166,11576,9938,10478,10232,11581,12815,13876,15221,15632
"Australia","AUS",5051,5257,5475,5371,5844,6377,8966,9477,9787,10285,9814,10243,10629,10807,11084,11650
"Azerbaijan","AZE",4607,4652,4629,3806,5990,5761,3883,4115,4564,4832,7246,10061,14296,19018,16797,22007
"Bahamas, The","BHS",2249,2339,2300,2431,2776,2858,2915,2601,2494,2612,2451,2661,2730,2524,2533,2395
"Bahrain","BHR",1860,1904,2018,2177,2425,2522,2863,3336,3433,3589,3872,3947,4118,3975,4106,4481
"Bangladesh","BGD",6796,7169,7908,9416,11575,15380,14487,14420,14524,15757,16609,19346,21739,22609,22690,24112
"Barbados","BRB",1152,1261,1433,1383,1517,1583,1590,1663,1625,1524,1379,1395,1286,1235,1179,1204
"Belarus","BLR",6096,6221,6686,6488,8364,7593,10590,11313,12324,14835,29772,28541,34843,40430,41629,35898
"Belgium","BEL",9357,9683,10107,10557,10882,11885,10086,9963,10441,10584,9834,10414,11236,12247,13257,16336
"Belize","BLZ",551,556,682,695,699,769,841,800,792,756,871,886,867,841,783,755
"Benin","BEN",2359,2376,2540,2685,3001,3675,3815,4002,4366,4201,4250,3984,4109,4122,3967,4095
"Bhutan","BTN",858,843,896,624,818,735,726,974,1069,1253,1461,1806,2097,2260,3364,3457
"Bolivia","BOL",2353,2355,2555,2798,3182,3564,3321,3751,4421,9052,10193,10125,10485,9857,9214,9140
"Bosnia and Herzegovina","BIH",12190,12341,14011,15205,13519,15919,15708,16517,14632,14807,15318,12784,12512,11922,11492,10864
"Botswana","BWA",2385,2764,3582,7312,8987,9632,10424,9390,8094,7246,7469,8971,8069,6716,4372,4394
"Brazil","BRA",15996,16268,17274,17464,19534,20087,19285,19424,19880,21533,23003,26238,27753,29218,30235,32051
"Brunei Darussalam","BRN",2092,2226,2179,2024,2006,1936,1951,2471,2159,2556,2907,3128,3325,3425,3550,3365
"Bulgaria","BGR",9941,10077,11754,14458,18429,22256,24683,25676,25488,24591,23257,23638,24150,24291,25166,24625
"Burkina Faso","BFA",1276,1299,1299,1405,1653,1936,2002,2299,2694,2789,2926,2882,3290,3394,3480,3650
"Burundi","BDI",866,868,880,949,984,1005,938,936,1084,1225,1436,1552,1607,1882,1902,2017
"Cabo Verde","CPV",2062,2066,2072,2467,2963,3573,3978,4460,4903,5399,3421,3309,3227,3079,3116,4631
"Cambodia","KHM",1391,1418,1665,1767,1943,2369,2457,2480,2633,2918,3113,3841,4172,4253,4180,4221
"Cameroon","CMR",9686,9742,10716,11405,12287,14444,14779,15867,16569,17476,18854,19695,20916,23006,22173,19491
"Canada","CAN",29698,30353,30864,31868,37631,39283,40054,43361,44542,45148,45588,46841,46140,45983,45502,45813
"Central African Republic","CAF",556,559,1088,1453,1854,1664,964,883,932,951,958,857,1142,1022,1024,942
"Chad","TCD",2391,2370,2407,2416,2639,2674,2666,2740,2903,2986,3322,3487,3585,3886,3839,3998
"Chile","CHL",4582,4696,5070,5362,5883,6807,5631,7673,6313,6177,7120,8242,9127,9860,8924,8937
"China","CHN",119863,123076,141227,165648,224498,312778,365916,403527,407280,430355,459892,517335,568578,650632,693972,712157
"Colombia","COL",9851,10113,12034,13087,16784,18525,17459,17741,17558,18385,20106,22096,24391,25635,25117,25509
"Comoros","COM",2341,2349,2319,2013,1793,2436,2995,3049,3121,3075,3081,3090,3733,3920,4293,4151
"Congo, Dem. Rep.","COD",4325,4434,4605,4331,4796,4088,2806,2980,3122,3278,3818,4086,4436,5398,6654,5800
"Congo, Rep.","COG",5295,5336,5286,5309,6044,6665,6741,6969,7362,7605,8026,8406,8923,9381,9188,8068
"Costa Rica","CRI",1136,1133,1167,1364,1588,1706,1625,1650,1887,1896,1898,2033,2197,2026,2095,2123
"Cote d'Ivoire","CIV",4186,4169,4590,4918,5552,6512,6240,6302,6507,6519,6694,6778,7180,7486,7723,7036
"Croatia","HRV",11380,11396,12206,12593,12943,13419,13564,13405,8874,8931,9479,9845,9966,9950,9052,8617
"Cuba","CUB",1328,1325,1678,1609,1387,1737,1199,1283,1380,1442,1592,1755,2119,2132,1975,1819
"Cyprus","CYP",17329,13546,16619,16595,14075,17035,19022,21354,19249,23078,24386,25734,27059,26980,26850,26233
"Czech Republic","CZE",4095,4152,4551,5275,6098,6890,6713,6881,6935,7233,9402,10543,11450,11904,12088,12520
"Denmark","DNK",6162,6423,6583,6327,6651,6757,5455,5416,5179,5081,4966,5182,5328,6064,5834,5254
"Dominican Republic","DOM",1029,1044,1201,1426,1691,2032,1804,1811,1944,2109,2383,2946,3388,3523,3458,4360
"Ecuador","ECU",2944,2972,3252,3514,4536,5334,4946,5348,5571,7287,8756,9466,10214,10690,10917,11109
"Egypt, Arab Rep.","EGY",8394,8629,8799,9705,9807,9686,9578,9619,9978,10861,12125,12688,14325,14738,16266,19744
"El Salvador","SLV",1161,1148,1694,1807,2146,2486,2116,2201,2315,2698,2715,3019,3165,2314,3040,3069
"Equatorial Guinea","GNQ",775,776,1007,840,678,761,870,839,859,909,1177,2040,1334,1342,1355,1015
"Eritrea","ERI",601,623,732,844,998,902,817,883,852,882,920,844,1035,1288,1261,1563
"Estonia","EST",3145,3188,3430,3981,3590,4103,3498,3597,3419,3268,3525,3783,4015,4305,4524,4172
"Ethiopia","ETH",3451,3517,3588,3290,3323,3427,3434,3552,3583,3895,4210,5113,5408,6777,5700,5622
"Fiji","FJI",1405,1411,1463,1709,1915,1833,1641,1714,1712,1705,1732,1849,1647,1485,1319,1248
"Finland","FIN",9474,9924,10236,10009,10297,10461,6064,5856,6084,6046,6487,7071,7380,7667,8143,8261
