,movie,imdb,metascore,votes,gross,year
0,The Shawshank Redemption,9.3,80,1838073,28341469,1994
1,The Dark Knight,9.0,82,1817974,533316061,2008
2,Inception,8.8,74,1608158,292568851,2010
3,Fight Club,8.8,66,1473065,37023395,1999
4,Pulp Fiction,8.9,94,1438920,107930000,1994
5,Forrest Gump,8.8,82,1382668,329691196,1994
6,The Lord of the Rings: The Fellowship of the Ring,8.8,92,1337840,313837577,2001
7,The Matrix,8.7,73,1323659,171383253,1999
8,The Lord of the Rings: The Return of the King,8.9,94,1317041,377019252,2003
9,The Godfather,9.2,100,1255346,134821952,1972
10,The Dark Knight Rises,8.5,78,1239771,448130642,2012
11,The Lord of the Rings: The Two Towers,8.7,88,1193738,340478898,2002
12,Se7en,8.6,65,1119579,100125340,1995
13,Interstellar,8.6,74,1073474,187991439,2014
14,Gladiator,8.5,67,1068470,187670866,2000
15,Batman Begins,8.3,70,1063670,205343774,2005
16,The Avengers,8.1,69,1056171,623279547,2012
17,Django Unchained,8.4,81,1055772,162804648,2012
18,Star Wars,8.7,92,991049,460935665,1977
19,The Silence of the Lambs,8.6,84,976589,130727000,1991
20,Inglourious Basterds,8.3,69,975023,120523073,2009
21,Saving Private Ryan,8.6,90,965978,216119491,1998
22,The Departed,8.5,85,950758,132373442,2006
23,Avatar,7.8,83,945096,760505847,2009
24,Schindler's List,8.9,93,943874,96067179,1993
25,The Prestige,8.5,66,929532,53082743,2006
26,Star Wars: Episode V - The Empire Strikes Back,8.8,81,918279,290158751,1980
27,Memento,8.5,80,917201,25530884,2000
28,American Beauty,8.4,86,889039,130058047,1999
29,The Wolf of Wall Street,8.2,75,881018,116866727,2013
30,Pirates of the Caribbean: The Curse of the Black Pearl,8.0,63,875962,305388685,2003
31,Shutter Island,8.1,63,870494,127968405,2010
32,The Green Mile,8.5,61,867029,136801374,1999
33,The Godfather: Part II,9.0,85,864512,57300000,1974
34,V for Vendetta,8.2,62,857635,70496802,2005
35,Titanic,7.7,74,853715,658672302,1997
36,American History X,8.5,62,847315,6712241,1998
37,Back to the Future,8.5,86,805602,210609762,1985
38,The Usual Suspects,8.6,77,804668,23272306,1995
39,Terminator 2: Judgment Day,8.5,75,804045,204843350,1991
40,Braveheart,8.4,68,798131,75600000,1995
41,Kill Bill: Vol. 1,8.1,69,797135,70098138,2003
42,Léon,8.6,64,795136,32346209,1994
43,Goodfellas,8.7,89,792627,46836394,1990
44,WALL·E,8.4,95,789232,223806889,2008
45,Guardians of the Galaxy,8.1,76,777371,333130696,2014
46,Finding Nemo,8.1,90,762324,380838870,2003
47,The Sixth Sense,8.1,64,758185,293501675,1999
48,Star Wars: Episode VI - Return of the Jedi,8.4,53,752596,309125409,1983
49,Iron Man,7.9,79,748222,318298180,2008
50,The Hunger Games,7.2,68,742348,407999255,2012
51,One Flew Over the Cuckoo's Nest,8.7,80,735440,112000000,1975
52,Up,8.3,88,733840,292979556,2009
53,The Truman Show,8.1,90,730918,125603360,1998
54,Eternal Sunshine of the Spotless Mind,8.3,89,727056,34126138,2004
55,Reservoir Dogs,8.3,78,725987,2812029,1992
56,Raiders of the Lost Ark,8.5,85,715169,242374454,1981
57,The Lion King,8.5,83,712283,422783777,1994
58,Sin City,8.0,74,687216,74098862,2005
59,Toy Story,8.3,95,684805,191796233,1995
60,Slumdog Millionaire,8.0,86,683957,141319195,2008
61,Jurassic Park,8.1,68,676101,356784000,1993
62,Star Wars: Episode VII - The Force Awakens,8.1,81,675929,936627416,2015
63,The Hobbit: An Unexpected Journey,7.9,58,675328,303001229,2012
64,A Beautiful Mind,8.2,72,671909,170708996,2001
65,No Country for Old Men,8.1,91,670325,74273505,2007
66,Good Will Hunting,8.3,70,665811,138339411,1997
67,Deadpool,8.0,65,650880,363024263,2016
68,The Terminator,8.0,83,649755,38400000,1984
69,Gone Girl,8.1,79,648733,167735396,2014
70,Mad Max: Fury Road,8.1,90,648591,153629485,2015
71,Snatch,8.3,55,647595,30093107,2000
72,"Monsters, Inc.",8.1,78,643828,289907418,2001
73,300,7.7,52,643013,210592590,2006
74,Die Hard,8.2,70,639861,81350242,1988
75,Gravity,7.8,96,630350,274084951,2013
76,Donnie Darko,8.1,88,628155,194220,2001
77,Alien,8.5,83,624208,78900000,1979
78,Requiem for a Dream,8.3,68,621904,3609278,2000
79,The Hangover,7.8,73,617576,277313371,2009
80,Gran Torino,8.2,72,603084,148085755,2008
81,Harry Potter and the Deathly Hallows: Part 2,8.1,87,600429,380955619,2011
82,Catch Me If You Can,8.1,76,599983,164435221,2002
83,Iron Man Three,7.2,62,599009,408992272,2013
84,Toy Story 3,8.3,92,595812,414984497,2010
85,Black Swan,8.0,79,587549,106952327,2010
86,Man of Steel,7.1,55,585862,291021565,2013
87,The Big Lebowski,8.2,69,585460,17439163,1998
88,Scarface,8.3,65,584072,44700000,1983
89,Spider-Man,7.3,73,582620,403706375,2002
90,Amélie,8.4,69,579698,33201661,2001
91,Star Wars: Episode I - The Phantom Menace,6.5,51,579227,474544677,1999
92,Thor,7.0,57,579160,181015141,2011
93,Cidade de Deus,8.7,79,574405,7563397,2002
94,I Am Legend,7.2,65,572701,256386216,2007
95,Silver Linings Playbook,7.8,81,570030,132088910,2012
96,The Intouchables,8.6,57,568809,13179837,2011
97,The Martian,8.0,80,568597,228430993,2015
98,Iron Man 2,7.0,57,565074,312057433,2010
99,Star Wars: Episode III - Revenge of the Sith,7.6,68,564766,380262555,2005
100,District 9,8.0,81,562341,115646235,2009
101,Pirates of the Caribbean: Dead Man's Chest,7.3,53,561839,423032628,2006
102,X-Men: Days of Future Past,8.0,74,560349,233914986,2014
103,Indiana Jones and the Last Crusade,8.3,65,559789,197171806,1989
104,Captain America: The First Avenger,6.9,66,556587,176636816,2011
105,X: First Class,7.8,65,556373,146405371,2011
106,Captain America: The Winter Soldier,7.8,70,552164,259746958,2014
107,Skyfall,7.8,81,552075,304360277,2012
108,The Pianist,8.5,85,550401,32519322,2002
109,Kill Bill: Vol. 2,8.0,83,549421,66207920,2004
110,"Il buono, il brutto, il cattivo",8.9,90,545356,6100000,1966
111,The Grand Budapest Hotel,8.1,88,540932,59073773,2014
112,The Imitation Game,8.1,73,540007,91121452,2014
113,The King's Speech,8.0,88,539969,138795342,2010
114,Transformers,7.1,61,537653,318759914,2007
115,Aliens,8.4,87,533486,85200000,1986
116,The Bourne Ultimatum,8.1,85,531966,227137090,2007
117,How to Train Your Dragon,8.1,74,531798,217387997,2010
118,The Hunger Games: Catching Fire,7.6,76,531179,424645577,2013
119,Full Metal Jacket,8.3,76,530527,46357676,1987
120,Star Trek,8.0,82,530188,257704099,2009
121,Avengers: Age of Ultron,7.4,66,528469,458991599,2015
122,Trainspotting,8.2,83,524104,16501785,1996
123,Million Dollar Baby,8.1,86,522664,100422786,2004
124,The Hobbit: The Desolation of Smaug,7.9,66,519745,258355354,2013
