price,beds,baths,area_sqft,car_space_garage,street,city,district,postal,broker
"$529,000",4,2,,1,32 Pilot Rd,Toms River,NJ,08753,"Weichert, Realtors - Forked River"
"$159,900",,,,,210 Redwood Dr,Berkeley,NJ,08721,Crossroads Realty - Manchester
"$248,000",3,3,"2,296",2,99 13th St,Toms River,NJ,08753,remax 1st advantage
"$469,000",4,3+,,2,790 Highmeadow Dr,Toms River,NJ,08753,CENTURY 21 Action Plus Realty
"$199,000",2,2,"1,404",1,2 Duxbury Rd,Toms River,NJ,08757,CBRivieraRealty3109
"$415,000",4,2+,"2,320",2,1055 Frontage Rd,Toms River,NJ,08753,Berkshire Hathaway Home Services Signature Properties
"$189,500",2,1,,1,2 Hatfield Rd,Toms River,NJ,08757,Crossroads Realty - Berkeley
"$249,900",2,2,"1,545",1,45 Stockport Dr,Toms River,NJ,08757,Long & Foster Real Estate Inc.
"$229,900",4,1,"1,464",1,1416 Broadway Blvd,Toms River,NJ,08757,Crossroads Realty - Executive Office
"$279,900",3,1+,,1,612 Loxley Dr,Toms River,NJ,08753,RE/MAX At Barnegat Bay
"$299,000",4,1+,"2,223",1,1030 Zircon Dr,Toms River,NJ,08753,RE/MAX at Barnegat Bay
"$419,900",3,2+,"1,752",1,302-B Sunset Dr,Seaside Heights,NJ,08753,Habitat Real Estate
"$175,000",2,2,,1,36 Harrington Dr S,Toms River,NJ,08757,RE/MAX REALTY 9
"$249,000",2,2,,2,2 Napoli Ct,Toms River,NJ,08757,Keller Williams Shore Properties
"$254,900",2,2,"1,350",1,270 Costa Mesa Dr,Toms River,NJ,08757,Keller Williams Shore Properties
"$32,500",2,1,,,1 Magnolia St Unit B,Toms River,NJ,08757,Crossroads Realty - Manchester
"$49,900",,,,,Harding Ave,Berkeley,NJ,08721,RE/MAX at Barnegat Bay
"$247,349",2,2,"1,670",1,19 Bedford Ct,Toms River,NJ,08757,Healy Realtors
"$197,900",3,1,"1,250",,1412 Bismarck St,Toms River,NJ,08757,Carl Greenfield
"$199,000",2,1,"1,074",1,118 Norfolk Ct,Toms River,NJ,08757,"Weichert, Realtors - Forked River"
"$169,900",2,2,,1,2354 Mount Hood Ln,Toms River,NJ,08753,Coldwell Banker Residential Brokerage - Spring Lake Office
"$459,900",3,2+,"2,319",2,1355 Wave Crest Ct,Toms River,NJ,08753,Keller Williams Shore Properties
"$325,000",3,2+,"1,850",1,598 Garfield Ave,Toms River,NJ,08753,Re/Max Real Estate Ltd.
"$259,000",4,2,"1,664",1,132 Serpentine Dr E,Berkeley,NJ,08721,RE/MAX at Barnegat Bay
"$205,000",2,2,,1,30 La Terraza Dr,Toms River,NJ,08757,Coldwell Banker Residential Brokerage - Westfield East Office
"$1,150,000",7,6+,"7,600",,600 Main St,Toms River,NJ,08753,"RE/MAX REAL ESTATE, LTD."
"$839,900",4,2+,"3,350",2,1951 Pinta Ct,Toms River,NJ,08753,Gloria Nilson & Company Real Estate
"$175,000",2,2,"1,404",1,45 Whitaker Dr,Toms River,NJ,08757,"RE/MAX REAL ESTATE, LTD."
"$264,900",3,2,"1,508",2,1332 4th Ave,Toms River,NJ,08757,RE/MAX At Barnegat Bay
"$219,000",2,1,"1,236",,90 Hickory Ln,Berkeley,NJ,08721,Keller Williams Shore Properties
"$649,000",3,2,"2,050",1,14 Sunrise Ct,Toms River,NJ,08753,Keller Williams Shore Properties
"$219,900",2,2,"1,232",1,11 Doral Dr,Berkeley,NJ,08757,RE/MAX NEW BEGINNINGS REALTY
"$189,000",2,1,800,,651 Vaughn Ave,Toms River,NJ,08753,Keller Williams Realty - Monmouth/Ocean
"$115,000",2,1,,1,221 Torrey Pines Dr,Toms River,NJ,08757,CENTURY 21 Action Plus Realty
"$224,900",2,2,"1,100",1,58 Barbuda St,Toms River,NJ,08757,"DANSKIN REAL ESTATE AGENCY, LLC"
"$269,000",3,1,"1,400",1,790 Linden Rd,Toms River,NJ,08753,BOB GRIMM AGENCY
"$229,900",3,1+,"1,496",1,1319 Bay Ave,Toms River,NJ,08753,REAL ESTATE PROFESSIONALS
"$100,000",,,,,736 Elizabeth Ave,Toms River,NJ,08753,"Weichert, Realtors - Howell"
"$979,645",,,,,12 Wilkins Rd,Toms River,NJ,08753,Childers Sotheby's Int Realty
"$264,900",4,2,"1,600",1,2204 6th Ave,Toms River,NJ,08753,"Diane Turton, Realtors - Toms River Office"
"$189,900",2,1+,,,1856 Mount Juliano Ln,Toms River,NJ,08753,Pacesetter Realty
"$800,000",4,2+,"4,372",2,46 Florence Ct,Toms River,NJ,08753,Berkshire Hathaway Home Services Signature Properties
"$839,000",5,3+,"3,300",3,315 Aldo Dr,Toms River,NJ,08753,Keller Williams Realty Central Monmouth
"$185,000",2,2,,1,20 Beaverbrook Dr,Toms River,NJ,08757,CENTURY 21 Action Plus Realty
"$184,900",2,2,,1,1 Fairfield Rd,Toms River,NJ,08757,CENTURY 21 Action Plus Realty
"$289,000",4,2,"1,650",1,885 Peppertree Dr,Toms River,NJ,08753,"RE/MAX REAL ESTATE, LTD."
"$195,000",2,1,951,1,101 Martin Rd,Toms River,NJ,08753,RE/MAX at Barnegat Bay
"$215,000",2,2,"1,232",1,3 Wakan Ct,Berkeley,NJ,08757,CENTURY 21 Action Plus Realty
"$284,900",2,2,,1,4 Blackpool Way,Toms River,NJ,08757,BHHS HEALY REALTORS
"$200,000",2,2,"1,328",1,144 Torrey Pines Dr,Berkeley,NJ,08757,CENTURY 21 Action Plus Realty
"$264,900",3,2,"1,128",1,581 Peter Ave,Toms River,NJ,08753,CBRivieraRealty3109
"$184,900",2,2,,1,16 Jericho Rd,Toms River,NJ,08757,Crossroads Realty - Toms River West
"$199,313",2,2,"1,440",1,7 San Carlos Ct,Toms River,NJ,08757,Exit Realty Jersey Shore
"$244,900",2,2,"1,232",1,98 San Carlos St Unit A,Toms River,NJ,08757,"RE/MAX REAL ESTATE, LTD."
"$320,000",4,2+,"2,004",2,1894 Ada Ct,Toms River,NJ,08753,Coldwell Banker Flanagan Realty
"$189,000",3,2+,"1,509",,613 Anthony Ave,Toms River,NJ,08753,"Weichert, Realtors - Toms River"
"$203,000",4,2,"1,863",,1940 Merrimac Dr,Toms River,NJ,08753,RE/MAX At Barnegat Bay
"$224,900",2,2,"1,328",1,133 Davenport Rd,Toms River,NJ,08757,"Weichert, Realtors - Toms River"
"$389,900",3,3+,,1,11 Friar Ct,Toms River,NJ,08753,CENTURY 21 Action Plus Realty
"$449,900",2,2,"2,172",,812 McKinley Ave,Toms River,NJ,08753,RE/MAX THE REAL ESTATE LEADERS
"$204,900",2,1,,1,38 Port Royal Dr,Toms River,NJ,08757,ERA American Towne Realty
"$379,000",4,3,"3,200",2,59 Manor Rd,Toms River,NJ,08753,ERA American Towne Realty
"$175,000",2,2,,1,12 Andros St,Toms River,NJ,08757,Crossroads Realty - Executive Office
"$300,000",3,2,"1,318",1,64 Breton Harbor Dr,Toms River,NJ,08753,Mike Koen Realty
"$109,900",2,1,"1,051",1,1316 Amsterdam Ave,Manchester,NJ,08757,RE/MAX At Barnegat Bay
"$181,900",3,1,"1,464",1,1226 Bewick St,Toms River,NJ,08753,Our Shore Real Estate
"$125,000",2,1+,930,,593 Garfield Ave Apt 13,Toms River,NJ,08753,Crossroads Realty - Executive Office
"$194,900",2,2,"1,440",1,49 Santiago Ct,Toms River,NJ,08757,SEA POINT REALTY
"$230,000",2,2,,1,61 Orlando Blvd,Toms River,NJ,08757,ADK REALTY and Consulting Services LLC
"$275,000",3,1,"1,248",,217 Carol Dr,Toms River,NJ,08753,"RE/MAX REAL ESTATE, LTD."
"$159,900",3,1+,"1,485",,125 Dover Rd,South Toms River,NJ,08757,Keller Williams Realty - Monmouth/Ocean
"$199,000",2,1,"1,000",1,1942 Mount Juliano Ln,Toms River,NJ,08753,Our Shore Real Estate
"$279,000",2,2,"1,728",1,23 Orlando Blvd,Toms River,NJ,08757,Keller Williams Realty - Monmouth/Ocean
"$77,000",1,1,820,,321 Elizabeth Ave,Toms River,NJ,08753,SHORE REALTY EXCHANGE
"$95,400",2,1+,"1,160",,899 N Edgebrook Dr,Toms River,NJ,08757,RealHome Services & Solutions
"$169,900",2,2,"1,232",1,253 Bonaire Dr,Toms River,NJ,08757,Gloria Nilson & Company Real Estate
"$219,000",4,2,,,519 Main St,Toms River,NJ,08753,C21/ VALUE PLUS REALTY
