price,beds,baths,area_sqft,car_space_garage,street,city,district,postal,broker
"$849,000",5,3,"1,939",,10 Coolidge Ave,Ortley Beach,NJ,08751,Keller Williams Shore Properties
"$349,000",4,2+,"2,334",2,27 Avalon Ave,Berkeley,NJ,08721,CBRivieraRealty3109
"$119,500",3,1,,,513 Middlesex St,Toms River,NJ,08757,Crossroads Realty - Executive Office
"$299,000",4,2,"2,480",,331 Manhattan Ave,Berkeley,NJ,08721,Glen Kelly Real Estate
"$185,000",2,2,"1,364",1,43 Buena Visa Dr,Toms River,NJ,08757,ROBERT DEFALCO REALTY INC.
"$159,900",,,,,210 Redwood Dr,Berkeley,NJ,08721,Crossroads Realty - Manchester
"$174,900",2,2,"1,232",1,73 Guadalajara Dr,Toms River,NJ,08757,Crossroads Realty - Executive Office
"$489,900",4,2,,2,1606 NE Central Ave,Seaside Park,NJ,08752,Appleby Realty
"$199,000",2,2,"1,404",1,2 Duxbury Rd,Toms River,NJ,08757,CBRivieraRealty3109
"$189,500",2,1,,1,2 Hatfield Rd,Toms River,NJ,08757,Crossroads Realty - Berkeley
"$249,900",2,2,"1,545",1,45 Stockport Dr,Toms River,NJ,08757,Long & Foster Real Estate Inc.
"$229,900",4,1,"1,464",1,1416 Broadway Blvd,Toms River,NJ,08757,Crossroads Realty - Executive Office
"$259,900",3,2,,,206 Teakwood Dr,Bayville,NJ,08721,Hometown Residential Realty Llc
"$459,999",3,4+,,,1825 Route 35 N Unit 6,Ortley Beach,NJ,08751,"Weichert, Realtors - Point Pleasant Beach"
"$139,900",1,1,,,1401 Boulevard Apt 1,Seaside Park,NJ,08752,VILLANO REALTORS
"$275,000",3,2,"1,680",1,206 Torrey Pines Dr,Toms River,NJ,08757,Coldwell Banker Flanagan Realty
"$160,000",2,2,,1,14 Valencia St,Toms River,NJ,08757,"Diane Turton, Realtors - Lavallette"
"$175,000",2,2,,1,36 Harrington Dr S,Toms River,NJ,08757,RE/MAX REALTY 9
"$249,000",2,2,,2,2 Napoli Ct,Toms River,NJ,08757,Keller Williams Shore Properties
"$199,900",4,2,,,62 Butler Blvd,Bayville,NJ,08721,1-2-3 REALTORS
"$254,900",2,2,"1,350",1,270 Costa Mesa Dr,Toms River,NJ,08757,Keller Williams Shore Properties
"$189,000",2,1,,,260 Sheridan Ave,Seaside Heights,NJ,08751,"Veltri & Associates, Realtors"
"$32,500",2,1,,,1 Magnolia St Unit B,Toms River,NJ,08757,Crossroads Realty - Manchester
"$299,900",3,2+,,,77 Hickory Ln,Bayville,NJ,08721,"Keller Williams Preferred Properties, Ship Bottom"
"$289,900",3,3,,,213 Blaine Ave,Seaside Heights,NJ,08751,C21 Homes of Distinction Real Estate
"$347,750",4,3,,2,71 Carlyle Dr,Bayville,NJ,08721,"Weichert, Realtors - Toms River"
"$49,900",,,,,Harding Ave,Bayville,NJ,08721,RE/MAX at Barnegat Bay
"$490,000",4,1,,,42 I St,Seaside Park,NJ,08752,Coldwell Banker Residential Brokerage - Spring Lake Office
"$49,900",,,,,Harding Ave,Berkeley,NJ,08721,RE/MAX at Barnegat Bay
"$247,349",2,2,"1,670",1,19 Bedford Ct,Toms River,NJ,08757,Healy Realtors
"$197,900",3,1,"1,250",,1412 Bismarck St,Toms River,NJ,08757,Carl Greenfield
"$199,000",2,1,"1,074",1,118 Norfolk Ct,Toms River,NJ,08757,"Weichert, Realtors - Forked River"
"$209,900",3,2+,"2,300",1,3 Foxmoor Ln,Bayville,NJ,08721,"Linda Schroeck Realty Group, LLC"
"$114,900",1,1,420,,226 Blaine Ave Apt 2,Seaside Heights,NJ,08751,Seaside Realty
"$259,000",4,2,"1,664",1,132 Serpentine Dr E,Berkeley,NJ,08721,RE/MAX at Barnegat Bay
"$205,000",2,2,,1,30 La Terraza Dr,Toms River,NJ,08757,Coldwell Banker Residential Brokerage - Westfield East Office
"$2,195,000",6,3,,3,469 Eisenhower Ave,Ortley Beach,NJ,08751,Keller Williams Shore Properties
"$650,000",4,2,"1,928",1,1955 Bay Blvd,Ortley Beach,NJ,08751,"Weichert, Realtors - Point Pleasant Beach"
"$175,000",2,2,"1,404",1,45 Whitaker Dr,Toms River,NJ,08757,"RE/MAX REAL ESTATE, LTD."
"$264,900",3,2,"1,508",2,1332 4th Ave,Manchester,NJ,08757,RE/MAX At Barnegat Bay
"$219,000",2,1,"1,236",,90 Hickory Ln,Berkeley,NJ,08721,Keller Williams Shore Properties
"$219,900",2,2,"1,232",1,11 Doral Dr,Berkeley,NJ,08757,RE/MAX NEW BEGINNINGS REALTY
"$848,500",4,4,"2,500",,2310 S Bayview Ave,Seaside Park,NJ,08752,"Weichert, Realtors - Normandy Beach"
"$224,900",2,2,"1,100",1,58 Barbuda St,Toms River,NJ,08757,"DANSKIN REAL ESTATE AGENCY, LLC"
"$115,000",2,1,,1,221 Torrey Pines Dr,Toms River,NJ,08757,CENTURY 21 Action Plus Realty
"$109,900",3,2,"1,120",2,541 E Barnegat Ave,Bayville,NJ,08721,Paschon Realty
"$159,900",,,,,206 Roanoke Ave,Seaside Heights,NJ,08751,Seaside Realty
"$690,000",3,3,,,112 2nd Ave,Seaside Heights,NJ,08751,"Diane Turton, Realtors - Toms River Office"
"$589,900",2,1+,,1,56 H St,Seaside Park,NJ,08752,Ward Wight Sotheby's International Realty
"$779,000",4,2+,"2,632",,9 6th Ave,Seaside Heights,NJ,08751,"Diane Turton, Realtors - Bay Head"
"$185,000",2,2,,1,20 Beaverbrook Dr,Toms River,NJ,08757,CENTURY 21 Action Plus Realty
"$184,900",2,2,,1,1 Fairfield Rd,Toms River,NJ,08757,CENTURY 21 Action Plus Realty
"$749,900",3,2+,,1,424 Bayside Ter,Seaside Heights,NJ,08751,Seaside Realty
