price,beds,baths,area_sqft,car_space_garage,street,city,district,postal,broker
"$289,900",5,2+,"1,808",3,236 Arlington Ave,Hamilton Township,NJ,08620,remax tri county
"$280,000",2,2,"1,299",,153 Burholme Dr,Hamilton Township,NJ,08691,Remax Tri-County
"$149,900",2,1,"1,304",,317 Lynwood Ave,Hamilton Township,NJ,08629,Gloria Nilson & Co. Real Estate
"$115,000",4,1,"1,248",3,27 College St,Trenton,NJ,08611,RE/MAX Tri County
"$299,999",3,3,"1,857",3,34 Fallview Ct,Hamilton Square,NJ,08690,Hamilton-Robbinsville Home Marketing Center
"$138,500",2,1+,"1,050",,755 Mission Rd,Bordentown,NJ,08620,Weidel Real Estate
"$179,900",2,1,"1,005",,104 Versailles Ct,Hamilton Township,NJ,08619,KELLER WILLIAMS REALTY - West Monmouth
"$267,990",2,2,"1,250",0,The Santa Fe,Hamilton Township,NJ,08619,Edgewood Properties
"$179,000",4,1+,"1,071",,4 Lee Ct,Hamilton Township,NJ,08619,Garcia Realtors
"$249,990",2,2,"1,150",0,The Topeka,Hamilton Township,NJ,08619,Edgewood Properties
"$384,900",4,2+,"2,252",2,52 Highbridge Rd,Bordentown,NJ,08620,Keller Williams Real Estate
"$589,500",4,2+,"2,112",3,11 Gordon Rd,Millstone,NJ,08691,Smires
"$149,000",4,1,"1,216",,1102 Park Ave,Trenton,NJ,08629,Weidel Realtors-Hamilton Square
"$175,000",2,2,"1,100",,9 Hemlock Ct,Hamilton Township,NJ,08619,RE/MAX IN TOWN
"$214,900",4,2,"1,470",,717 Arena Dr,Hamilton Township,NJ,08610,HomeSmart First Advantage Realty
"$99,900",,,,,4060 Quakerbridge Rd,Lawrenceville,NJ,08619,Crs Agency Elite Llc
"$139,900",3,1,"1,384",,3 Klein Ave,Hamilton Township,NJ,08629,Coldwell Banker Residential Brokerage - Princeton Junction Office
"$124,900",,,"1,950",,866 Revere Ave,Trenton,NJ,08629,Re/Max Total
"$250,000",3,2+,"1,484",,25 Pinedale Ct,Hamilton Township,NJ,08690,ERA Central Realty Group
"$234,900",3,1+,"1,376",1,16 Tekening Way,Hamilton Township,NJ,08690,RE/MAX Tri County
"$274,900",3,1+,"1,673",3,52 Mae Dr,Hamilton Township,NJ,08620,"RE/MAX Properties, Ltd."
"$26,500",3,1,"1,404",,428 Walnut Ave,Trenton,NJ,08609,Century 21 Advantage Gold
"$339,000",3,1+,"1,508",3,14 Wisteria Ln,Hamilton Square,NJ,08690,Hamilton-Robbinsville Home Marketing Center
"$389,900",3,3+,"1,468",2,1269 Park St,Robbinsville,NJ,08691,Gloria Nilson & Co. Real Estate
"$207,500",3,1,"1,406",,415 Rowan Ave,Hamilton Township,NJ,08610,Smires
"$424,900",4,2+,"2,459",1,9 Makefield Cir,Hamilton,NJ,08620,Exit 98 George Realty
"$440,000",3,3,"2,673",,110 Monte Carlo Dr,Hamilton Township,NJ,08691,Gloria Nilson & Co. Real Estate
"$259,800",3,1+,"1,048",,5 Grenville Ct,Hamilton Township,NJ,08690,Cb Hearthside-Regional Sales Center
"$324,900",2,2+,"1,730",,80 Sundance Dr,Hamilton Township,NJ,08619,RE/MAX Tri County
"$150,000",4,1+,"1,260",3,122 Dickinson Ave,Hamilton Township,NJ,08629,Keller Williams Real Estate-Princeton
"$155,000",2,2,"1,100",,39 Cheverny Ct,Hamilton Township,NJ,08619,Coldwell Banker Residential Brokerage - Princeton Junction Office
"$64,900",2,1,860,,29 Hutchins Ave,Hamilton Township,NJ,08610,Coldwell Banker Residential Brokerage - Princeton Junction Office
"$75,000",2,1,983,,16 Edwin Ave,Hamilton Township,NJ,08610,Century 21 Value Plus Realty
"$124,900",2,1,837,1,223 Maddock Ave,Hamilton Township,NJ,08610,First Jersey Realty Group
"$69,900",,,,,613 E State St,Trenton,NJ,08609,"Abrams, Hutchinson"
"$320,000",2,2+,"1,746",1,118 Sundance Dr,Hamilton Township,NJ,08619,Smires
