price,beds,baths,area_sqft,car_space_garage,street,city,district,postal,broker
"$266,990",2,2,"1,250",0,The Union,Hamilton Township,NJ,08619,Edgewood Properties
"$267,990",2,2,"1,250",0,The Santa Fe,Hamilton Township,NJ,08619,Edgewood Properties
"$289,900",5,2+,"1,808",3,236 Arlington Ave,Hamilton Township,NJ,08620,remax tri county
"$280,000",2,2,"1,299",,153 Burholme Dr,Hamilton Township,NJ,08691,Remax Tri-County
"$149,900",2,1,"1,304",,317 Lynwood Ave,Hamilton Township,NJ,08629,Gloria Nilson & Co. Real Estate
"$179,000",4,1+,"1,071",,4 Lee Ct,Hamilton Township,NJ,08619,Garcia Realtors
"$179,900",2,1,"1,005",,104 Versailles Ct,Hamilton Township,NJ,08619,KELLER WILLIAMS REALTY - West Monmouth
"$199,000",3,2+,"1,557",,152 Meadow Cir,Hamilton Township,NJ,08330,Dwell Real Estate
"$369,900",5,3,"2,548",2,73 Joni Ave,Hamilton Township,NJ,08690,First Jersey Realty Group
"$249,990",2,2,"1,150",0,The Topeka,Hamilton Township,NJ,08619,Edgewood Properties
"$279,000",3,1+,"1,478",1,134 Gary Dr,Hamilton Township,NJ,08690,Robert Russo
"$139,900",3,1,"1,384",,3 Klein Ave,Hamilton Township,NJ,08629,Coldwell Banker Residential Brokerage - Princeton Junction Office
"$175,000",2,2,"1,100",,9 Hemlock Ct,Hamilton Township,NJ,08619,RE/MAX IN TOWN
"$215,000",3,2,,1,2426 Route 50,Hamilton Township,NJ,08330,Glen Cove Real Estate
"$214,900",4,2,"1,470",,717 Arena Dr,Hamilton Township,NJ,08610,HomeSmart First Advantage Realty
"$250,000",3,2+,"1,484",,25 Pinedale Ct,Hamilton Township,NJ,08690,ERA Central Realty Group
"$234,900",3,1+,"1,376",1,16 Tekening Way,Hamilton Township,NJ,08690,RE/MAX Tri County
"$274,900",3,1+,"1,673",3,52 Mae Dr,Hamilton Township,NJ,08620,"RE/MAX Properties, Ltd."
"$207,500",3,1,"1,406",,415 Rowan Ave,Hamilton Township,NJ,08610,Smires
"$440,000",3,3,"2,673",,110 Monte Carlo Dr,Hamilton Township,NJ,08691,Gloria Nilson & Co. Real Estate
"$259,800",3,1+,"1,048",,5 Grenville Ct,Hamilton Township,NJ,08690,Cb Hearthside-Regional Sales Center
"$324,900",2,2+,"1,730",,80 Sundance Dr,Hamilton Township,NJ,08619,RE/MAX Tri County
"$150,000",4,1+,"1,260",3,122 Dickinson Ave,Hamilton Township,NJ,08629,Keller Williams Real Estate-Princeton
"$155,000",2,2,"1,100",,39 Cheverny Ct,Hamilton Township,NJ,08619,Coldwell Banker Residential Brokerage - Princeton Junction Office
"$424,900",4,2+,"2,459",yes,9 Makefield Cir S,Hamilton Township,NJ,08501,George Realty
"$124,900",2,2,,,2607 Boulder Ct,Hamilton Township,NJ,08330,Northfield
"$64,900",2,1,860,,29 Hutchins Ave,Hamilton Township,NJ,08610,Coldwell Banker Residential Brokerage - Princeton Junction Office
"$75,000",2,1,983,,16 Edwin Ave,Hamilton Township,NJ,08610,Century 21 Value Plus Realty
"$124,900",2,1,837,1,223 Maddock Ave,Hamilton Township,NJ,08610,First Jersey Realty Group
"$349,000",4,2+,"1,957",3,34 Cranbrook Rd,Hamilton Township,NJ,08690,Keller Williams Realty - Moorestown
"$320,000",2,2+,"1,746",1,118 Sundance Dr,Hamilton Township,NJ,08619,Smires
"$199,999",3,1+,"1,612",,25 Samdin Blvd,Hamilton Township,NJ,08610,Smires
"$210,000",2,1,"1,075",,721 Whitehorse Mercerville Rd,Hamilton Township,NJ,08610,Hamilton-Robbinsville Home Marketing Center
"$72,800",4,3+,"1,828",,5014 Laydon Ct,Hamilton Township,NJ,08330,"Little Pink Houses, LLC"
"$415,000",4,2+,,3,14 Holland Ter,Hamilton Township,NJ,08610,"Continental Real Estate Group, Inc."
"$349,900",3,2+,"2,110",3,30 Martha Dr,Hamilton Township,NJ,08610,Keller Williams Realty - Moorestown
"$319,900",2,2+,"1,730",3,84 Sundance Dr,Hamilton Township,NJ,08619,Weidel Real Estate
"$225,000",3,3,"2,142",1,48 Gasko Rd Rd,Hamilton Township,NJ,08330,Glen Cove Real Estate
"$259,000",4,1,"1,048",,65 Aberfoyle Dr,Hamilton Township,NJ,08690,RE/MAX Tri County
"$218,500",3,1,,,45 William St,Hamilton Township,NJ,08619,Long & Foster Real Estate Inc.
"$465,000",3,3,"2,903",,85 Monte Carlo Dr,Hamilton Township,NJ,08691,ERA Central Realty Group
"$189,000",3,2+,"1,596",3,201 Norway Ave,Hamilton Township,NJ,08609,Princeton Junction
"$350,000",2,2,"1,804",,35 Bear Meade Dr,Hamilton Township,NJ,08691,RE/MAX World Class Realty
"$149,000",4,2,"1,496",,257 Randall Ave,Hamilton Township,NJ,08610,Smires
"$162,500",2,2,"1,100",,60 Holly Ct,Hamilton Township,NJ,08619,Smires
"$125,000",4,1+,"1,468",,271 Lynwood Ave,Hamilton Township,NJ,08609,ERA Central Realty Group
"$126,900",2,1,846,2,203 Bonnie Ave,Hamilton Township,NJ,08629,RE/MAX Tri County
"$234,900",2,1+,"1,496",,32 Pinedale Ct,Hamilton Township,NJ,08690,RE/MAX Tri County
"$329,900",3,2+,"1,232",,119 Terrill Ave,Hamilton Township,NJ,08619,Century 21 Veterans-Newtown
"$84,900",3,2+,"1,500",,1536 Madison Ct,Hamilton Township,NJ,08330,"Little Pink Houses, LLC"
"$394,900",,,"1,613",,110 Klockner Rd,Hamilton Township,NJ,08619,ERA Central Realty Group
"$295,000",2,2,"1,407",,225 Sparrow Dr,Hamilton Township,NJ,08690,RE/MAX First Realty
"$285,000",3,2+,,yes,16 Pizzullo Rd,Hamilton Township,NJ,08690,Callaway Henderson Sothebys International Realty
"$314,500",4,2+,"2,000",2,4123 Drosera Ave,Hamilton Township,NJ,08330,BALSLEY LOSCO REAL ESTATE
"$214,900",3,1,995,,36 Brighten Dr,Hamilton Township,NJ,08619,"REOcomplete Real Estate, Inc"
"$335,000",4,2,"1,592",3,79 Hirsch Ave,Hamilton Township,NJ,08690,Keller Williams Real Estate-Princeton
"$65,000",,,,,Mercerville Edinburg Rd,Hamilton Township,NJ,08619,Coldwell Banker Residential Brokerage - Princeton Junction Office
"$259,900",4,2+,,2,36 Springton Cir,Hamilton Township,NJ,08330,New Jersey Homes Sales Inc
"$224,900",3,1+,"1,764",3,120 White Horse Ave,Hamilton Township,NJ,08610,remax 1st advantage
"$289,900",3,1+,"1,672",yes,15 Tanglewood Dr,Hamilton Township,NJ,08619,Smires
"$249,900",3,1+,"1,558",,18 Bonnie Rae Dr,Hamilton Township,NJ,08620,Smires
"$194,900",3,1,"1,028",2,48 Churchill Ave,Hamilton Township,NJ,08610,Garcia Realtors
"$179,900",2,2,"1,100",,60 Versailles Ct,Hamilton Township,NJ,08619,Frank Vincent Realtors
"$669,000",,,"4,713",,269 S Johnston Ave,Hamilton Township,NJ,08609,Capital 5 Realty
"$229,000",3,2,"1,960",,32 Magowan Ave,Hamilton Township,NJ,08619,RE/MAX IN TOWN
"$170,000",3,2,"1,056",,340 Hobart Ave,Hamilton Township,NJ,08629,REMAX PROPERTIES LTD.
"$399,900",5,2+,"2,336",,150 Bucknell Ave,Hamilton Township,NJ,08619,KELLER WILLIAMS REALTY - West Monmouth
"$44,700",2,1,,,2003 Blue Fox Ln,Hamilton Township,NJ,08037,Home Alliance Realty
"$96,000",3,1,932,,112 Overlook Ave,Hamilton Township,NJ,08610,Coldwell Banker Residential Brokerage - Princeton Office
