price,beds,baths,area_sqft,car_space_garage,street,city,district,postal,broker
"$508,700",2,1,,,689 Luis Munoz Marin Blvd Apt 702,Jersey City,NJ,07310,RE/MAX PROFESSIONALS
"$899,000",1,1,,1,77 Hudson St Apt 3407,Jersey City,NJ,07302,Prominent Properties Sotheby's International Realty
"$132,500",2,1,,,1171 Summit Ave,Jersey City,NJ,07307,SAFEWAY REALTY LLC
"$679,000",1,1,925,1,222 Montgomery St Apt 4G,Jersey City,NJ,07302,"Weichert, Realtors - Jersey City Downtown"
"$839,000",2,2,"1,009",,313 7th St Unit 101,Jersey City,NJ,07302,Liberty Realty
"$1,599,000",4,3,"1,980",,20 Newport Pkwy Apt 615,Jersey City,NJ,07310,SAWYER SMITH RESIDENTIAL BROKERAGE
"$1,165,000",3,3,"1,424",,313 7th St Unit 203,Jersey City,NJ,07302,Liberty Realty
"$620,000",6,3,,,156A Hopkins Ave,Jersey City,NJ,07306,Coldwell Banker Residential Brokerage - Jersey City Office
"$400,000",2,1,"1,043",,63 Sherman Pl Apt B6,Jersey City,NJ,07307,NJ Luxury Group
"$749,000",4,2,"2,500",,32 Romaine Ave Unit 1,Jersey City,NJ,07306,"Weichert, Realtors - Jersey City Downtown"
"$889,000",4,3,,3,16 Howard Pl,Jersey City,NJ,07306,"Halstead Property New Jersey, LLC"
"$445,000",3,2,"1,300",,171 Liberty Ave Unit 2,Jersey City,NJ,07306,Liberty Realty
"$539,000",3,1,,1,214 Bowers St,Jersey City,NJ,07307,SAWYER SMITH RESIDENTIAL BROKERAGE
"$1,298,000",8,6+,,3,149 Palisade Ave,Jersey City,NJ,07306,Access Homes Realty
"$610,000",2,1,992,,689 Luis M Marin Blvd Unit 1009,Jersey City,NJ,07310,Empire Realty Group
"$132,500",2,1,,,1171 Summit Ave,Jersey City,NJ,07307,SAFEWAY REALTY LLC
"$160,000",2,2,,,56 Union St,Jersey City,NJ,07304,KELLER WILLIAMS TEAM REALTY
"$129,000",,,,,228 Arlington Ave,Jersey City,NJ,07305,ATLAS HOMES REALTY
"$799,000",6,1,,3,829 Secaucus Rd,Jersey City,NJ,07307,R.C.L. Realty
"$380,000",5,2+,,,47 Astor Pl,Jersey City,NJ,07304,Victory Linked Realty Inc.
"$599,000",8,5,,,52 Harrison Ave,Jersey City,NJ,07304,Liberty Realty
"$349,000",4,3,,2,210 Danforth Ave,Jersey City,NJ,07305,Coldwell Banker Residential Brokerage - Jersey City Office
"$299,000",6,2+,,,60A Rose Ave,Jersey City,NJ,07305,Home Sweet Home
"$349,999",3,2+,,2,34 Williams Ave,Jersey City,NJ,07304,"Weichert, Realtors - Jersey City Downtown"
"$525,000",5,3,,,1684 Kennedy Blvd,Jersey City,NJ,07305,KELLER WILLIAMS CITY LIFE REALTY
"$179,000",1,1,569,,1182 Summit Ave Apt 2R,Jersey City,NJ,07307,FOOTPRINTS REALTY
"$319,900",2,2,"1,310",1,5 Persimmon Ct Unit 1,Jersey City,NJ,07305,Re/Max Villa
"$75,000",3,1+,,,106 Stegman St,Jersey City,NJ,07305,Century 21 Picciuto Realty
"$260,000",1,1,870,,2600 Kennedy Blvd Apt 5G,Jersey City,NJ,07306,RE/MAX Gold Coast Realty
"$259,900",5,2,"1,950",,124 Linden Ave,Jersey City,NJ,07305,ERA STATEWIDE REALTY
"$499,000",5,3,,,144 Van Horne St,Jersey City,NJ,07304,Liberty Realty
"$508,700",2,1,,,689 Luis Munoz Marin Blvd # 702,Jersey City,NJ,07310,"C-21 HOMES THRU US, INC."
"$1,275,000",2,2,,,160 1st St Apt 205,Jersey City,NJ,07302,J City Realty
"$799,000",3,2+,,3,79 Waverly St,Jersey City,NJ,07306,"Weichert, Realtors - Jersey City Downtown"
"$349,000",1,1,600,,341 9th St Apt 1R,Jersey City,NJ,07302,"Weichert, Realtors - Jersey City Downtown"
"$5,900,000",,,,,520-524 Palisade Ave,Jersey City,NJ,07307,"Weichert, Realtors - Jersey City Downtown"
"$395,000",5,4,,,485 Bergen Ave,Jersey City,NJ,07304,Global Dabu Realty
"$339,000",3,2,,,174 Bayview Ave,Jersey City,NJ,07305,Liberty Realty
"$1,295,000",4,2+,,,128 Ogden Ave,Jersey City,NJ,07307,WEST HOBOKEN REALTY LLC
"$449,900",4,3,,1,100 Sycamore Rd,Jersey City,NJ,07305,Berkshire Hathaway HomeServices McGeehan & Pineiro Realty
"$539,000",3,1,,,89 Prospect St,Jersey City,NJ,07307,Liberty Realty
"$369,000",8,3,,,183 Wegman Pkwy,Jersey City,NJ,07305,Keller Williams City Life
"$229,000",3,1+,,,69 Rose Ave,Jersey City,NJ,07305,Liberty Realty
"$375,000",8,3,,,203 Arlington Ave,Jersey City,NJ,07305,Keller Williams Village Square Realty
"$219,900",4,1+,,,118A Grant Ave,Jersey City,NJ,07305,Liberty Realty
"$425,000",3,3,,3,223 Olean Ave,Jersey City,NJ,07306,CENTURY 21 CALABRESE REALTY
"$729,000",4,3,,2,54 Congress St,Jersey City,NJ,07307,Weichert Realtors
"$1,999,000",4,3+,,,218 8th St,Jersey City,NJ,07302,Sawyer Smith Residential Brokerage
"$1,599,000",5,3,,,516A Manila Ave,Jersey City,NJ,07302,LIBERTY REALTY LLC
"$1,075,000",3,2,"1,406",,415 Monmouth St Unit 4,Jersey City,NJ,07302,LIBERTY REALTY LLC
"$1,075,000",3,2,"1,406",,415 Monmouth St Unit 4,Jersey City,NJ,07302,LIBERTY REALTY LLC
"$1,999,000",4,3+,,,218 8th St,Jersey City,NJ,07302,Sawyer Smith Residential Brokerage
"$399,000",1,1,642,1,300 Communipaw Ave Apt 133,Jersey City,NJ,07304,Christoph Schluender Realty
"$1,100,000",10,7,,,67 Graham St,Jersey City,NJ,07307,RE/MAX GOLD COAST REALTY
"$259,000",2,1,851,,104 Palisade Ave Apt Ba,Jersey City,NJ,07306,REMAX VILLA REALTORS
"$460,000",7,4,,2,240 Culver Ave,Jersey City,NJ,07305,"Weichert, Realtors - Jersey City Exchange Place"
"$489,000",4,2,,1,660 Liberty Ave,Jersey City,NJ,07307,"All Gold Realty, Inc"
"$279,000",5,2,,,8 Bayview Ave,Jersey City,NJ,07305,REMAX VILLA REALTORS
"$320,000",2,2,,,15 Enterprise Ct,Jersey City,NJ,07305,Pishon Real Estate
"$939,000",5,5,,,665 Summit Ave,Jersey City,NJ,07306,PALISADIUM REAL ESTATE
"$1,450,000",2,2,"1,243",1,77 Hudson St Apt 1710,Jersey City,NJ,07302,"Weichert, Realtors - Jersey City Exchange Place"
"$899,000",4,3,"2,350",1,109 Shearwater Ct E Apt 11,Jersey City,NJ,07305,RE/MAX WATERFRONT REALTORS
"$799,000",2,1+,983,,154 Steuben St Apt 202,Jersey City,NJ,07302,Armagno Agency Inc
"$410,000",2,2,"1,269",2,4 Constellation Pl Apt 307,Jersey City,NJ,07305,Weichert Realtors - Jersey City Exchange Place
"$1,299,000",2,2,"1,125",1,160 1st St Apt 704,Jersey City,NJ,07302,LIBERTY REALTY LLC
"$1,095,000",3,3+,"2,700",2,17 Halfmoon Isle Unit Th,Jersey City,NJ,07305,Century 21 Viewpoint Realty
"$2,399,000",4,3,,,247 7th St,Jersey City,NJ,07302,KELLER WILLIAMS CITY LIFE REALTY
"$615,000",1,1,890,,159 2nd St Apt 304,Jersey City,NJ,07302,"Halstead Property New Jersey, LLC"
"$114,000",1,1,387,,277 Harrison Ave Unit 8A,Jersey City,NJ,07304,"Weichert, Realtors - Jersey City Downtown"
"$354,000",3,2+,,1,447 Rose Ave,Jersey City,NJ,07305,Blvd Realty Group
"$450,000",1,1,,,349 York St Unit 2,Jersey City,NJ,07302,Coldwell Banker Residential Brokerage - Hoboken
"$195,000",3,2,,,144 Van Nostrand Ave,Jersey City,NJ,07305,EXIT ON THE HUDSON REALTY
"$569,000",1,1,766,1,10 Regent St Apt 212,Jersey City,NJ,07302,Realty Executives - Najjar Group
"$989,000",6,4+,,2,63 Beach St,Jersey City,NJ,07307,"AFS HUDSON REALTY, LLC"
"$1,348,000",2,2,"1,075",1,77 Hudson St Apt 1511,Jersey City,NJ,07302,"Weichert, Realtors - Jersey City Exchange Place"
"$949,000",4,5,,2,39 Paterson St,Jersey City,NJ,07307,Coldwell Banker Residential Brokerage - Jersey City Office
"$549,000",1,1,737,1,167 Wayne St Unit 107T,Jersey City,NJ,07302,"Weichert, Realtors - Jersey City Downtown"
"$475,000",2,2,"1,282",,225 St Pauls Ave Unit 7F,Jersey City,NJ,07306,SACKS REALTY CO
"$2,750,000",4,3,,,217 Warren St,Jersey City,NJ,07302,Keller Williams City Life Realty
"$279,000",1,1,700,1,464 Central Ave Apt A3,Jersey City,NJ,07307,Better Homes & Gardens Rand Realty
"$3,550,000",4,4+,,,219-221 Warren St,Jersey City,NJ,07302,Keller Williams City Life Realty
"$459,000",2,2,"1,180",1,75 Liberty Ave Unit D11,Jersey City,NJ,07306,REMAX VILLA REALTORS
"$1,150,000",3,2,,,298 5th St,Jersey City,NJ,07302,Armagno Agency Inc
"$394,900",4,2,,,3651 Kennedy Blvd,Jersey City,NJ,07307,PRIME Real Estate Group
"$399,000",1,1,600,,293 3rd St Apt 1,Jersey City,NJ,07302,Nest Seekers Hoboken
"$237,700",1,1,559,1,23 Belvidere Ave Apt 4,Jersey City,NJ,07304,Coldwell Banker Residential Brokerage - Jersey City Office
"$2,600,000",,,,,215 Warren St,Jersey City,NJ,07302,Keller Williams City Life Realty
"$450,000",6,3,,1,220 Claremont Ave,Jersey City,NJ,07305,THE PROPERTY SHOP INC
"$675,000",5,3,,,64 Columbia Ave,Jersey City,NJ,07307,"Weichert, Realtors - Jersey City Exchange Place"
"$439,900",2,2,,1,310 Palisade Ave Unit 401,Jersey City,NJ,07307,NEW JERSEY REO ASSET MANAGEMENT & R
"$799,000",2,3+,,2,31 Intrepid Pl,Jersey City,NJ,07305,Keller Williams City Views Realty
"$1,300,000",4,4,,,354 7th St,Jersey City,NJ,07302,Nest Seekers Jersey City
"$529,000",1,2,"1,021",1,50 Dey St Apt 333,Jersey City,NJ,07306,Keller Williams City Life
"$879,000",7,4,,2,75 Garrison Ave,Jersey City,NJ,07306,RE/MAX Signature Properties
"$395,000",6,2,,2,136 Bayview Ave,Jersey City,NJ,07305,Liberty Realty
"$449,000",5,2,,3,43 Neptune Ave,Jersey City,NJ,07305,"Weichert, Realtors - Bayonne"
"$399,000",1,1,600,,293-295 3rd St Unit 1,Jersey City,NJ,07302,Nest Seekers International NJ LLC
"$1,650,000",7,4,,1,215 Brunswick St,Jersey City,NJ,07302,"Weichert, Realtors - Jersey City Downtown"
"$449,000",7,4,,,3 Claremont Ave,Jersey City,NJ,07305,EXIT ON THE HUDSON REALTY
"$1,300,000",4,4,,,"354 7th St Units 1,2,3",Jersey City,NJ,07302,Nest Seekers New Jersey Llc
"$585,000",1,1,690,,10 Regent St Apt 809,Jersey City,NJ,07302,"Weichert, Realtors - Hoboken"
"$610,000",6,5,,2,17 Union St,Jersey City,NJ,07304,EXIT PREFERRED REALTY GROUP LLC
"$2,250,000",9,6+,,3,182 Summit Ave,Jersey City,NJ,07304,Coldwell Banker Residential Brokerage - Jersey City
"$534,900",7,3,,,322 Virginia Ave,Jersey City,NJ,07304,"Weichert, Realtors - Jersey City Downtown"
"$799,000",2,1,"1,025",,382 Luis M Marin Blvd Unit 3L,Jersey City,NJ,07302,AMERICAN HOMES REALTY INC
"$265,000",2,2,,,92 Orient Ave,Jersey City,NJ,07305,PRIME Real Estate Group
"$599,000",1,1,738,1,264 9th St Apt 1K,Jersey City,NJ,07302,Sawyer Smith Residential Brokerage
"$474,900",3,1+,,,235 North St,Jersey City,NJ,07307,BHHS Hudson River Properties
"$349,000",2,1+,926,1,44 Sherman Ave Apt 5C,Jersey City,NJ,07307,Nest Seekers International
"$474,900",3,1+,,,235 North St Unit 1,Jersey City,NJ,07307,BHHS Hudson River Properties
"$329,000",2,1,628,,149 Webster Ave Apt 1,Jersey City,NJ,07307,Boyne Realty Inc
"$299,000",2,1,786,,40 Glenwood Ave Apt 3G,Jersey City,NJ,07306,Keller Williams City Life Realty
"$839,900",2,1+,"1,021",,45 River Dr S Apt 2210,Jersey City,NJ,07310,Coldwell Banker Residential Brokerage - Jersey City Office
"$850,000",6,4,,1,17 Prescott St,Jersey City,NJ,07304,H PROPERTY BROKERS
"$679,000",6,3,,,36 Laidlaw Ave,Jersey City,NJ,07306,"Elite Brokers, LLC"
"$829,000",2,2,"1,036",1,380 Newark Ave Unit 302,Jersey City,NJ,07302,"Weichert, Realtors - Jersey City Downtown"
"$799,000",2,2,"1,121",1,380 Newark Ave Unit 305,Jersey City,NJ,07302,"Weichert, Realtors - Jersey City Downtown"
"$395,000",0,1,534,,227 Christopher Columbus Dr Apt 109B,Jersey City,NJ,07302,Berkshire Hathaway HomeServices McGeehan & Pineiro Realty
"$625,000",6,4,,,53 Clinton Ave,Jersey City,NJ,07304,"Weichert, Realtors - Jersey City Exchange Place"
"$299,000",4,3,,,40A Clarke Ave,Jersey City,NJ,07304,Provident Legacy Real Estate Servic
"$399,000",3,2,"1,000",,57 Saint Pauls Ave Apt 1L,Jersey City,NJ,07306,NEST SEEKERS NEW JERSEY LLC
"$425,000",5,2,,,28 Prescott St,Jersey City,NJ,07304,EXIT PLATINUM REALTY
"$259,000",2,1+,,,87 Ege Ave,Jersey City,NJ,07305,Coldwell Banker Residential Brokerage - Jersey City
"$350,000",6,3,,,53 Greenville Ave,Jersey City,NJ,07305,Keller Williams City Life Realty
"$1,700,000",4,4,,,59 Wayne St,Jersey City,NJ,07302,Liberty Realty
"$940,000",2,2,"1,215",,93 Bright St Unit 3,Jersey City,NJ,07302,KELLER WILLIAMS CITY LIFE REALTY
"$660,000",3,2+,"1,710",1,45 Broadway Unit 402,Jersey City,NJ,07306,Americas Elite Group Llc
"$600,000",6,3,,2,21 Laidlaw Ave,Jersey City,NJ,07306,Coldwell Banker Residential Brokerage - Jersey City Office
"$449,000",1,1,642,,515 Manila Ave Apt 2L,Jersey City,NJ,07302,Coldwell Banker Residential Brokerage - Hoboken Office
"$1,100,000",3,3+,"2,700",2,29 Half Moon Isle,Jersey City,NJ,07305,Nest Seekers New Jersey Llc
"$1,095,000",2,2,"1,114",1,61-63 Sussex St Apt 6,Jersey City,NJ,07302,"Weichert, Realtors - Jersey City Downtown"
"$1,389,000",2,3,"1,673",,201 Luis M Marin Blvd Unit 1050,Jersey City,NJ,07302,KELLER WILLIAMS CITY LIFE REALTY
"$899,000",2,2,"1,217",1,380 Newark Ave Unit 306,Jersey City,NJ,07302,"Weichert, Realtors - Jersey City Downtown"
"$799,000",2,2,"1,075",1,380 Newark Ave Unit 207,Jersey City,NJ,07302,"Weichert, Realtors - Jersey City Downtown"
"$680,000",1,2,844,,64 Mercer St Units 9 & 4D,Jersey City,NJ,07302,Keller Williams City Life
"$799,000",5,2+,,,256 Pacific Ave,Jersey City,NJ,07304,CHRISTOPH SCHLUENDER REAL
"$329,000",3,1+,,3,198 Custer Ave,Jersey City,NJ,07305,Keller Williams City Life
"$1,169,000",2,2,,,1 Shore Ln Apt 907,Jersey City,NJ,07310,Coldwell Banker Residential Brokerage - Hoboken Office
"$299,000",,,,,62 Bergen Ave,Jersey City,NJ,07305,Century 21 Innovative
"$619,000",2,1,799,,313 7th St Unit 201,Jersey City,NJ,07302,Liberty Realty
"$1,100,000",3,3,"1,416",,313 7th St Unit 302,Jersey City,NJ,07302,Liberty Realty
"$780,000",2,2,935,,313 7th St Unit 103,Jersey City,NJ,07302,Liberty Realty
"$1,200,000",3,3,"1,630",,313 7th St Unit 301,Jersey City,NJ,07302,Liberty Realty
"$935,000",2,2,"1,137",,102 Christopher Columbus Dr Apt 506,Jersey City,NJ,07302,Liberty Realty
"$249,900",3,1+,,3,34 Long St,Jersey City,NJ,07305,Coldwell Banker Residential Brokerage - Jersey City Office
"$1,150,000",2,2,"1,449",,99 Wayne St Unit 1,Jersey City,NJ,07302,Weichert Realtors
"$689,000",1,1,750,1,201 Luis M Marin Blvd Unit 504,Jersey City,NJ,07302,Dominant Properties Llc
"$3,700,000",,,,,348 Baldwin Ave,Jersey City,NJ,07306,LIBERTY REALTY LLC
"$849,900",11,7,,,54 Bergen Ave,Jersey City,NJ,07305,Liberty Realty
"$375,000",4,4+,"2,130",,200 Orient Ave,Jersey City,NJ,07305,SUNRISE RESIDENTIAL BROKERAGE
"$349,000",1,1,,,104 Palisade Ave Apt A2,Jersey City,NJ,07306,Keller Williams Town Life
"$995,000",7,4+,,2,99 Gifford Ave,Jersey City,NJ,07304,BOYNE REALTY INC
"$925,000",1,1+,966,1,77 Hudson St Apt 3701,Jersey City,NJ,07302,Liberty Realty
"$689,000",3,2,,2,72 Romaine Ave,Jersey City,NJ,07306,NJ Luxury Group
"$699,999",1,1,750,,102 Christopher Columbus Dr Apt 203,Jersey City,NJ,07302,Realmart Realty - Flat Fee to 1% Agent Assist Service
"$729,000",5,3,,3,175 Pine St,Jersey City,NJ,07304,Armagno Agency Inc
"$660,000",1,1+,"1,034",1,227 Christopher Columbus Dr Apt 415B,Jersey City,NJ,07302,"Weichert, Realtors - Jersey City Downtown"
"$420,000",1,1,525,,405 2nd St Apt 1R,Jersey City,NJ,07302,"Weichert, Realtors - Jersey City Downtown"
"$1,099,000",2,2,"1,530",1,1 Greene St Apt 809,Jersey City,NJ,07302,"Weichert, Realtors - Jersey City Exchange Place"
"$599,000",6,3,,,10 Graham St,Jersey City,NJ,07307,Keller Williams City Life Realty
"$435,000",7,5,,2,70 Pamrapo Ave,Jersey City,NJ,07305,Liberty Realty
"$350,000",0,1,450,,316 7th St Apt 5,Jersey City,NJ,07302,"Weichert, Realtors - Jersey City Downtown"
"$565,500",2,1+,813,,267 Baldwin Ave Unit 301,Jersey City,NJ,07306,LIBERTY REALTY LLC
"$451,900",2,2,"1,300",1,3 Greenwich Dr Apt 83,Jersey City,NJ,07305,PRIME Real Estate Group
"$1,020,000",1,1,957,1,77 Hudson St Apt 2005,Jersey City,NJ,07302,"RE/MAX Villa Realtors 932 River Rd Edgewater, NJ 07020"
"$1,275,000",2,2,"1,280",,1 Shore Ln Apt 1810,Jersey City,NJ,07310,Coldwell Banker Residential Brokerage - Downtown Jersey City
"$740,000",1,1,800,,88 Morgan St Apt 2803,Jersey City,NJ,07302,Liberty Realty
"$519,000",1,1,730,,109 Erie St Apt 2L,Jersey City,NJ,07302,"Weichert, Realtors - Jersey City Exchange Place"
"$999,000",3,2+,"1,630",1,9 Coles St Apt 1,Jersey City,NJ,07302,LIBERTY REALTY LLC
"$999,888",2,2,"1,183",1,126 Dudley St Apt 218,Jersey City,NJ,07302,"Weichert, Realtors - Jersey City Downtown"
"$369,000",1,1,894,,201 St Pauls Ave Unit 11T,Jersey City,NJ,07306,PRUDENTIAL DABU REALTORS
"$499,999",5,2,,,91 Hutton St,Jersey City,NJ,07307,Nest Seekers New Jersey Llc
"$325,000",5,2+,,,473 Bergen Ave,Jersey City,NJ,07304,"Weichert, Realtors - Jersey City Downtown"
"$279,000",1,1,,,4 Beacon Way Apt 604,Jersey City,NJ,07304,Prominent Properties SIR
"$569,900",3,2+,,,109 E Shearwater Ct Unit 12,Jersey City,NJ,07302,TOM MARCO REAL ESTATE
"$699,000",1,1,674,1,20 2nd St Apt 1105,Jersey City,NJ,07302,Liberty Realty
"$289,000",2,2,,,4 Beacon Way Apt 407,Jersey City,NJ,07304,SIMPLY REAL ESTATE
"$718,500",1,1,,,160 1st St Apt 411,Jersey City,NJ,07302,J City Realty
"$395,000",3,2,"1,261",1,172 Culver Ave Apt 305,Jersey City,NJ,07305,REMAX VILLA REALTORS
"$999,888",2,2,"1,424",1,201 Luis M Marin Blvd Unit 601,Jersey City,NJ,07302,Realty Executives - Najjar Group
"$599,000",2,2,"1,497",1,75 Liberty Ave Unit A4,Jersey City,NJ,07306,Coldwell Banker Residential Brokerage - Jersey City Office
"$625,000",5,3,,3,262 Woodlawn Ave,Jersey City,NJ,07305,EXIT VICTORY REALTY
"$225,000",4,1,,,268 Armstrong Ave,Jersey City,NJ,07305,NJ METRO GROUP
"$224,900",2,2,425,,76 Romaine Ave Unit 1F,Jersey City,NJ,07306,PRIME Real Estate Group
"$369,900",2,2,,,30 Freedom Way Unit 301,Jersey City,NJ,07305,TOM MARCO REAL ESTATE
"$282,000",4,2,,,195 Lexington Ave,Jersey City,NJ,07304,Coldwell Banker Residential Brokerage - Jersey City Office
"$519,000",2,1+,,,234 6th St Unit A3,Jersey City,NJ,07302,Coldwell Banker Residential Brokerage - Hoboken Office
"$2,695,000",5,3+,,,103 Grand St,Jersey City,NJ,07302,Keller Williams City Life Realty
"$939,000",5,5,,,665 Summit Ave,Jersey City,NJ,07306,PALISADIUM REAL ESTATE LLC
"$425,000",2,2,"1,440",,6 Greenwich Dr Unit 609,Jersey City,NJ,07305,Coldwell Banker Residential Brokerage - Hoboken Office
"$898,000",9,4,,,52 Grace St,Jersey City,NJ,07307,KELLER WILLIAMS CITY LIFE REALTY
"$410,000",7,3,,,167 Lembeck Ave,Jersey City,NJ,07305,Coldwell Banker Residential Brokerage - Jersey City Office
"$1,750,000",4,4,,2,268 3rd St,Jersey City,NJ,07302,REMAX VILLA REALTORS
"$1,050,000",2,2,,1,65 2nd St Unit 1709,Jersey City,NJ,07302,"Continental Real Estate Group, Inc."
"$215,000",3,1+,,,409 Union St,Jersey City,NJ,07304,"MEDINA REALTY, INC"
"$200,000",6,3,,,220 Old Bergen Rd,Jersey City,NJ,07305,WEST HOBOKEN REALTY LLC
"$445,000",2,2,"1,350",1,208 Shearwater Ct W Apt 53,Jersey City,NJ,07305,CENTURY 21 Viewpoint Realty
"$749,999",6,5,,,19 Corbin Ave,Jersey City,NJ,07306,YOUSUF SYED
"$599,000",5,2,,,657 Liberty Ave,Jersey City,NJ,07307,AAA COMMUNITY REALTY
"$669,000",6,3,,2,469 Liberty Ave,Jersey City,NJ,07307,Exit Realty Urban Living
"$924,000",8,4+,,3,152-154 Danforth Ave,Jersey City,NJ,07305,"Weichert, Realtors - Jersey City Downtown"
"$669,000",6,3,,2,469 Liberty Ave,Jersey City,NJ,07307,Exit Realty Urban Living
"$599,000",5,2,,,657 Liberty Ave,Jersey City,NJ,07307,AAA COMMUNITY REALTY
"$195,000",1,1,504,,194 Kensington Ave Unit 402,Jersey City,NJ,07306,Coldwell Banker Residential Brokerage - Jersey City Office
"$495,000",1,1,738,1,286 9th St Unit 5D,Jersey City,NJ,07302,Armagno Agency Inc
"$899,000",7,3,,3,22 Graham St,Jersey City,NJ,07307,Exit Realty Urban Living
"$1,249,000",3,2,"1,400",,108 Morris St Apt 3,Jersey City,NJ,07302,"Weichert, Realtors - Jersey City Exchange Place"
"$525,000",7,5,,2,312 Chapel Ave,Jersey City,NJ,07305,ATLAS HOMES REALTY
"$575,000",8,5,,,165 Winfield Ave,Jersey City,NJ,07305,WALGERT'S REALTY LLC
"$847,000",1,1,758,,99 Hudson St Unit 2403,Jersey City,NJ,07302,THE MARKETING DIRECTORS INC
"$583,000",4,3,,,247 Jewett Ave,Jersey City,NJ,07304,Coldwell Banker Residential Brokerage - Jersey City Office
"$1,898,000",2,2,"1,285",,99 Hudson St Unit 3408,Jersey City,NJ,07302,THE MARKETING DIRECTORS INC
"$3,707,000",0,,"2,223",,99 Hudson St Ph 7600,Jersey City,NJ,07302,THE MARKETING DIRECTORS INC
"$1,580,000",2,2,"1,164",,99 Hudson St Unit 2410,Jersey City,NJ,07302,THE MARKETING DIRECTORS INC
"$50,000",,,,,30 Grant Ave,Jersey City,NJ,07305,Coldwell Banker Residential Brokerage - Hoboken Office
"$104,900",2,2,,,79 Crescent Ave Unit 1,Jersey City,NJ,07304,Coldwell Banker Residential Brokerage - Fort Lee Office
"$1,199,999",6,4+,,2,78 Graham St,Jersey City,NJ,07307,BHHS Hudson River Properties
"$899,000",2,1+,980,1,149 Essex St Apt 5Q,Jersey City,NJ,07302,Realmart Realty - Flat Fee to 1% Agent Assist Service
"$1,419,000",3,3+,"3,400",3,66 Constitution Way Unit Th,Jersey City,NJ,07305,RE/MAX WATERFRONT REALTORS
"$1,650,000",6,3+,,,322 1/2 7th St,Jersey City,NJ,07302,PRIME Real Estate Group
"$374,900",2,2,,,4 Beacon Way Apt 509,Jersey City,NJ,07304,"Carrington Real Estate Services (Us), Llc"
"$399,000",3,1,"1,404",,53 Duncan Ave Apt 55,Jersey City,NJ,07304,Keller Williams City Life
"$425,000",5,2,,,641 Liberty Ave,Jersey City,NJ,07307,Liberty Realty
"$799,000",3,3+,"2,660",2,22 Independence Way Unit TH22,Jersey City,NJ,07305,Century 21 Viewpoint Realty
"$549,900",3,2,"1,100",1,78 Graham St Unit 2,Jersey City,NJ,07307,BHHS Hudson River Properties
"$619,000",5,4+,,,1 Astor Pl,Jersey City,NJ,07304,WEST HOBOKEN REALTY LLC
"$279,000",1,1,,,30 Freedom Way Unit 212,Jersey City,NJ,07305,"ASIA REALTY, LLC"
"$245,000",3,2,,,141 Stevens Ave,Jersey City,NJ,07305,KW City Life JC
"$369,000",5,2,,3,70 Warner Ave,Jersey City,NJ,07305,Nest Seekers New Jersey Llc
"$465,000",6,4+,,2,499 Ocean Ave,Jersey City,NJ,07305,Liberty Realty
"$465,000",6,4+,,2,497 Ocean Ave,Jersey City,NJ,07305,Liberty Realty
"$195,000",4,2,,,313 Winfield Ave,Jersey City,NJ,07305,Armagno Agency Inc
"$495,000",6,4+,,2,482 Ocean Ave,Jersey City,NJ,07305,Liberty Realty
"$360,000",1,1,927,,225 St Pauls Ave Unit 4L,Jersey City,NJ,07306,SACKS REALTY CO
"$299,900",4,3,,,190 Belvidere Ave,Jersey City,NJ,07306,"WEST HOBOKEN REALTY, LLC"
"$695,000",2,2+,"1,400",2,118 Irving St Unit 1,Jersey City,NJ,07307,Coldwell Banker Residential Brokerage - Hoboken Office
"$519,998",4,3,,,647 Liberty Ave,Jersey City,NJ,07307,"Weichert, Realtors - Jersey City Exchange Place"
"$1,400,000",5,4+,,2,118 Irving St,Jersey City,NJ,07307,Coldwell Banker Residential Brokerage - Hoboken Office
"$550,000",4,2+,,2,507 Liberty Ave,Jersey City,NJ,07307,RE/MAX TRADITIONS REAL ESTATE
"$429,000",2,2,"1,510",,30 Freedom Way Unit 309,Jersey City,NJ,07305,Coldwell Banker Residential Brokerage - Westfield East Office
"$544,900",2,1,750,,352 7th St Apt 3,Jersey City,NJ,07302,Suffern
