price,beds,baths,area_sqft,car_space_garage,street,city,district,postal,broker
"$388,800",3,3,"2,500",2,4 Ravello Rd,Manchester,NJ,08759,Re/Max West Realtors
"$649,000",6,4+,"4,000",3,501 Eagle Point Dr,Toms River,NJ,08753,RE/MAX THE REAL ESTATE LEADERS
"$529,000",4,2,,1,32 Pilot Rd,Toms River,NJ,08753,"Weichert, Realtors - Forked River"
"$339,900",3,2,"2,165",2,11 Trevi Ct,Manchester,NJ,08759,RE/MAX at Barnegat Bay
"$119,500",3,1,,,513 Middlesex St,Toms River,NJ,08757,Crossroads Realty - Executive Office
"$375,000",3,3,"1,560",1,70 Stevens Rd,Toms River,NJ,08755,Keller Williams Shore Properties
"$390,000",3,2+,"2,290",1,401 Susquehanna St Unit 1201,Toms River,NJ,08755,RE/MAX NEW BEGINNINGS REALTY
"$185,000",2,2,"1,364",1,43 Buena Visa Dr,Toms River,NJ,08757,ROBERT DEFALCO REALTY INC.
"$239,000",2,1+,,1,35 Mount Matterhorn Ln,Toms River,NJ,08753,Cassese Realtors
"$64,500",2,1,,1,100 Cambridge Cir Unit B,Manchester,NJ,08759,Crossroads Realty - Manchester
"$319,900",4,2,"2,278",,3275 Ridgeway Rd,Manchester,NJ,08759,Keller Williams Shore Properties
"$149,000",3,1,"1,056",,2101 Patton Rd,Toms River,NJ,08753,RE/MAX at Barnegat Bay
"$295,000",,,,,514 Bayview Dr,Toms River,NJ,08753,"Weichert, Realtors - Toms River"
"$174,900",2,2,"1,232",1,73 Guadalajara Dr,Toms River,NJ,08757,Crossroads Realty - Executive Office
"$739,900",5,3+,"4,244",3,1401 Vincenzo Dr,Toms River,NJ,08753,Paschon Realty
"$399,000",,,,,1875 Whitesville Rd,Toms River,NJ,08755,"Sydney Krupnick Realty, Inc."
"$269,900",4,2+,,2,105 George Rd,Toms River,NJ,08753,ARTHUR RUE AGENCY
"$309,000",4,2+,"1,854",2,872 Devonshire Rd,Toms River,NJ,08753,"Diane Turton, Realtors - Asbury Park"
"$248,000",3,3,"2,296",2,99 13th St,Toms River,NJ,08753,remax 1st advantage
"$725,000",4,2+,,2,1737 Symphony Ln,Toms River,NJ,08755,Keller Williams Shore Properties
"$469,000",4,3+,,2,790 Highmeadow Dr,Toms River,NJ,08753,CENTURY 21 Action Plus Realty
"$199,000",2,2,"1,404",1,2 Duxbury Rd,Toms River,NJ,08757,CBRivieraRealty3109
"$415,000",4,2+,"2,320",2,1055 Frontage Rd,Toms River,NJ,08753,Berkshire Hathaway Home Services Signature Properties
"$189,500",2,1,,1,2 Hatfield Rd,Toms River,NJ,08757,Crossroads Realty - Berkeley
"$349,900",4,2,"1,920",,164 Sunset Ave,Toms River,NJ,08755,RE/MAX at Barnegat Bay
"$233,000",2,2,,1,19 Harrogate Ln,Manchester,NJ,08759,M. Van Sciver Realtors
