price,beds,baths,area_sqft,car_space_garage,street,city,district,postal,broker
"$330,000",5,3,,,245-247 6th Ave,Newark,NJ,07107,CENTURY 21 Gemini LLC Realty (Wayne Office)
"$224,900",4,2,,,101 Cutler St,Newark,NJ,07104,CENTURY 21 Gemini LLC Realty (Wayne Office)
"$375,000",8,3,,,67-69 Littleton Ave,Newark,NJ,07107,"EXIT GOLDEN REALTY GROUP, LLC"
"$145,000",6,2+,,,32-36 Bayard Pl,Newark,NJ,07106,ELITE REALTORS OF NEW JERSEY
"$99,000",2,1,,,302 S 20th St,Newark,NJ,07103,Keller Williams City Life Realty
"$52,900",2,1,,,,Newark,NJ,07104,CRS AGENCY ELITE LLC
"$120,000",6,3,,,74-78 Baldwin,Newark,NJ,07108,CENTURY 21 REAL ESTATE GROUP
"$275,999",2,2,,,29-31 Freeman St,Newark,NJ,07105,CENTURY 21 CENTRAL REALTY COMPANY
"$265,000",6,3,,,22-24 Renner Ave,Newark,NJ,07112,"Weichert, Realtors - Bayonne"
"$275,999",2,2,"1,150",1,,Newark,NJ,07105,CENTURY 21 Central Realty Co.
"$379,000",7,3,,,60 Wakeman Ave,Newark,NJ,07104,RE/MAX SELECT
"$239,000",4,3,,,182 S 6th St,Newark,NJ,07103,JOSEPH JAMES
"$154,900",5,3,"2,889",,743 Sandford Ave,Newark,NJ,07003,SELLSTATE PROPERTY SOLUTIONS
"$469,000",6,5,,,139 Mapes Ave,Newark,NJ,07112,Weichert Realtors - Fort Lee
"$292,000",6,5,,,190 S 8th St,Newark,NJ,07103,COLDWELL BANKER LIBERTY
"$45,000",,,,,372 Peshine Ave,Newark,NJ,07112,"Rosa Agency, Inc."
"$59,000",,,,,380-382 Badger Ave,Newark,NJ,07112,"Rosa Agency, Inc."
"$299,000",3,2,950,1,130 South St Apt 2A,Newark,NJ,07114,"EXIT GOLDEN REALTY GROUP, LLC"
"$169,000",4,2+,,1,21-23 Isabella Ave,Newark,NJ,07106,Coldwell Banker Residential Brokerage - Maplewood Office
"$419,995",7,4,,,290-292 N 6th St,Newark,NJ,07107,PREFERRED REALTY SERVICES LLC
"$659,000",8,5,,,96 St Francis St,Newark,NJ,07105,"OPTION 1 REALTY GROUP, LLC"
"$239,995",2,2+,,1,121 Arlington St,Newark,NJ,07102,ARC REAL ESTATE
"$350,000",3,3,,1,37-39 Scheerer Ave,Newark,NJ,07112,Coldwell Banker Residential Brokerage - Westfield West
"$339,900",8,3,,,302 Woodside Ave,Newark,NJ,07104,EXIT PLATINUM REALTY
"$150,000",4,2,,,416 S 18th St,Newark,NJ,07103,EXIT PLATINUM REALTY
"$125,000",9,5,,,501 S 10th St,Newark,NJ,07103,Keller Williams City Life Realty
"$450,000",8,4,,,89-95 Ingraham Pl,Newark,NJ,07108,EXIT PLATINUM REALTY
"$500,000",7,5,,,216 W Runyon St,Newark,NJ,07108,EXIT PLATINUM REALTY
"$490,000",8,5,,,78-80 W Alpine St,Newark,NJ,07108,Coldwell Banker Liberty
"$325,000",6,2,,,72 Fabyan Pl,Newark,NJ,07108,EXIT PLATINUM REALTY
"$649,000",9,6,,,165 Chestnut St,Newark,NJ,07105,"OPTION 1 REALTY GROUP, LLC"
"$179,000",5,1+,,,223 N 7th St,Newark,NJ,07107,THE SHIVER REAL ESTATE AGENCY
"$124,900",5,2,,,266 Leslie St,Newark,NJ,07112,CALVIN WALKER
"$219,000",3,1,,1,32 Melrose Ave,Newark,NJ,07106,ELITE REALTORS OF NEW JERSEY
"$70,000",3,2,,,81-83 Norwood St,Newark,NJ,07106,EXIT PLATINUM REALTY
"$229,900",5,2,,1,53 Voorhees St,Newark,NJ,07108,ELITE REALTORS OF NEW JERSEY
"$90,000",5,2,,,103 S 6th St,Newark,NJ,07107,United Real Estate
"$199,000",4,2,,,407-409 S 15th St,Newark,NJ,07103,Village Square Realtors
"$83,600",4,1,,,27 Richelieu Ter,Newark,NJ,07106,"Realhome Services And Solutions,Inc"
"$275,000",8,4,"4,800",,390-392 N 11th St,Newark,NJ,07107,"Weichert, Realtors - Union"
"$94,500",3,1+,,2,1052 18th Ave,Newark,NJ,07106,ONE WORLD REALTY
"$234,800",4,1+,,1,94-96 Underwood St,Newark,NJ,07106,century 21 home thru us inc.
"$50,000",3,1,,,52-54 Pine Grove Ter,Newark,NJ,07106,RE/MAX PROFESSIONALS
"$329,000",9,5,,,804 S 16th St,Newark,NJ,07108,Sky Realty Associates LLC
"$280,000",7,3,,,179 Leslie St,Newark,NJ,07112,RE/MAX SELECT
"$325,000",6,4,"3,900",,423 S 18th St,Newark,NJ,07103,Sky Realty Associates LLC
"$425,000",4,3,"2,400",,342 Adams St,Newark,NJ,07105,EXIT REALTY LUCKY (Elizabeth)
"$199,000",4,2,,,407 S 15th St,Newark,NJ,07103,Village Square Realtors
"$450,000",7,3,,,283-285 Schley St,Newark,NJ,07112,EXIT PLATINUM REALTY
"$394,900",4,2,,,10 Nichols St,Newark,NJ,07105,NEW GROUP REALTY LLC
"$579,000",5,3,,,235 E Kinney St,Newark,NJ,07105,Rosa Agency Ironbound LLC
"$241,500",2,2+,,,36 Howard Ct,Newark,NJ,07103,YOUR TOWN REALTY
"$30,000",3,1,,,215 4th St,Newark,NJ,07107,Coldwell Banker Residential Brokerage - Maplewood Office
"$290,000",6,3,,,201 11th St,Newark,NJ,07107,EXIT PLATINUM REALTY
"$255,000",3,2,,1,6 Sheldon Ter,Newark,NJ,07106,CENTURY 21 Gemini LLC Realty
"$225,000",7,3,,,167 N 12th St,Newark,NJ,07107,"MARANATHA REALTY, INC."
"$330,000",5,3,,,245-247 W 6th Ave,Newark,NJ,07107,CENTURY 21 Gemini LLC Realty (Wayne Office)
"$379,900",4,1,,,76-78 Pacific St,Newark,NJ,07105,NEW GROUP REALTY LLC
"$166,000",3,1,,2,28-30 Melrose Ave,Newark,NJ,07106,Keller Williams Clifton
"$109,200",6,3,,,864-866 S 15th,Newark,NJ,07003,SELLSTATE PROPERTY SOLUTIONS
"$115,000",6,2,,,361 S 20th St,Newark,NJ,07103,"JORDAN BARIS, INC."
"$298,000",6,3,,1,889 Broadway,Newark,NJ,07104,NEW GROUP REALTY LLC
"$169,000",3,3,,,124 Highland Ave,Newark,NJ,07104,Rosa Agency Ironbound LLC
"$350,000",7,3,,,71 N 5th St,Newark,NJ,07107,United Real Estate North Jersey Luxury
"$245,000",2,2+,,,33 Rutgers Dr,Newark,NJ,07103,"Weichert, Realtors - Union"
"$170,000",2,1+,,,96 Callahan Ct,Newark,NJ,07103,KELLER WILLIAMS MID-TOWN DIRECT REALTY
