price,beds,baths,area_sqft,car_space_garage,street,city,district,postal,broker
"$310,000",3,1,"1,000",,1349 W Ave Unit 3RD,Ocean City,NJ,08226,"Weichert Realtors, Asbury Group, LLC"
"$459,000",3,2,"1,435",,803 Periwinkle Dr,Ocean City,NJ,08226,JESSE REAL ESTATE
"$659,000",4,2+,"2,000",2,1300 Haven Ave Unit 1,Ocean City,NJ,08226,Long And Foster Real Estate Inc-Ocean City 10Th St
"$179,000",1,1,465,,900 Ocean Ave Apt 205,Ocean City,NJ,08226,JESSE REAL ESTATE
"$359,900",2,1+,,,26 Sunset Pl,Ocean City,NJ,08226,RE/MAX At The Shore
"$2,149,900",10,6,,,2818 Asbury Ave,Ocean City,NJ,08226,MONIHAN REALTY
"$1,189,900",5,3,"1,600",2,2818 Asbury Ave Unit 2C,Ocean City,NJ,08226,MONIHAN REALTY
"$999,900",5,3,"1,600",2,2818 Asbury Ave Unit C1,Ocean City,NJ,08226,MONIHAN REALTY
"$479,000",5,2,"1,632",,5417 Haven Ave,Ocean City,NJ,08226,Asbury-Ocean City
"$319,000",2,1,776,,2937 West Ave Unit 1,Ocean City,NJ,08226,109 34th Street-Ocean City
"$474,000",3,2,,1,3113 West Ave Unit 1C,Ocean City,NJ,08226,Long And Foster Real Estate Inc-Ocean City 10Th St
"$449,000",3,2,,,3540 West Ave,Ocean City,NJ,08226,109 34th Street-Ocean City
"$469,500",4,2,"2,006",2,10-12 W 14th St,Ocean City,NJ,08226,Goldcoast Sotheby's International Realty
"$379,900",3,2,,,1723 Haven Ave Unit B,Ocean City,NJ,08226,Battersea-Ocean City
"$379,900",3,2,,,1723 Haven Ave Unit B,Ocean City,NJ,08226,Battersea-Ocean City
"$3,599,000",5,5+,"4,400",2,15 Tobago Ln,Ocean City,NJ,08226,109 34th Street-Ocean City
"$579,000",5,2,"1,857",,5424 West Ave,Ocean City,NJ,08226,55th Street-Ocean City
"$635,000",4,2,"1,462",,5511 Simpson Ave Unit B,Ocean City,NJ,08226,55th Street-Ocean City
"$1,199,900",5,3+,,1,4301 Central Ave Unit 1,Ocean City,NJ,08226,KELLER WILLIAMS REALTY-JERSEY SHORE
"$539,900",3,2,,,1522 Asbury Ave Unit 2,Ocean City,NJ,08226,Berger Realty
"$719,900",3,2+,,2,32 Battersea Rd,Ocean City,NJ,08226,Asbury-Ocean City
"$679,900",3,3,"1,150",1,2035 Central Ave Unit 1ST,Ocean City,NJ,08226,Berger Realty
"$349,900",2,2,,,213 Limpet Dr,Ocean City,NJ,08226,KELLER WILLIAMS REALTY-JERSEY SHORE
"$549,900",3,2,,1,1528 Asbury Ave Unit 2ND,Ocean City,NJ,08226,MONIHAN REALTY
"$929,500",4,4,"2,100",2,13 53rd St,Ocean City,NJ,08226,Berger Realty
"$879,000",4,2+,,1,4160 Asbury Ave Unit 1ST,Ocean City,NJ,08226,MONIHAN REALTY
"$829,000",5,3,"2,025",2,2131 Simpson Ave,Ocean City,NJ,08226,MARR AGENCY
"$779,000",5,3,"2,025",2,2129 Simpson Ave,Ocean City,NJ,08226,MARR AGENCY
"$399,000",2,1,720,,14 Lincoln Pl,Ocean City,NJ,08226,Goldcoast Sotheby's International Realty
"$524,900",2,2+,"1,200",2,935 Ocean Ave Apt 724,Ocean City,NJ,08226,GRACE PROPERTIES
"$819,900",4,2,"1,519",1,3024 Central Ave Unit 1,Ocean City,NJ,08226,109 34th Street-Ocean City
"$979,000",3,1+,"2,322",2,45 Morningside Rd Rd,Ocean City,NJ,08226,KELLER WILLIAMS REALTY-JERSEY SHORE
"$1,499,000",4,3,"1,665",1,3921 Central Ave Unit 1,Ocean City,NJ,08226,109 34th Street-Ocean City
"$409,900",3,2,,,5242 W Ave Unit 2ND,Ocean City,NJ,08226,RE/MAX at the Shore
"$489,000",3,2,,,2023 Asbury Ave Unit 2,Ocean City,NJ,08226,Berger Realty
"$1,050,000",4,2,,2,4517 Central Ave,Ocean City,NJ,08226,"JOE WIESSNER REALTY, LLC"
"$499,000",3,2,,,5344 Asbury Ave Unit 1,Ocean City,NJ,08226,Berger Realty
"$3,799,000",6,6+,"3,600",2,3714 Wesley Ave,Ocean City,NJ,08226,GRACE REALTY
"$649,000",4,2,,,1515 Asbury Ave Unit 2ND,Ocean City,NJ,08226,Goldcoast Sotheby's International Realty
"$1,289,000",6,6,"3,600",1,22 Spruce Rd,Ocean City,NJ,08226,Goldcoast Sotheby's International Realty
"$459,000",3,2,,,820 Saint Charles Pl Unit 1,Ocean City,NJ,08226,Battersea-Ocean City
"$534,900",3,2,,,1122 Ocean Ave Apt 5,Ocean City,NJ,08226,109 34th Street-Ocean City
"$629,900",4,3,"1,700",1,6 Seventh St,Ocean City,NJ,08226,109 34th Street-Ocean City
"$719,000",5,3,"1,990",1,2113 Simpson Ave Unit 1,Ocean City,NJ,08226,Re/Max At The Shore
"$119,900",1,1,272,,840 Ocean Ave Unit 24,Ocean City,NJ,08226,JESSE REAL ESTATE
"$789,900",4,2,,,5538 Central 2nd Ave Unit 2,Ocean City,NJ,08226,Berger Realty
"$399,000",3,2,"1,278",,2222 Central Ave Units 4 & 5,Ocean City,NJ,08226,55th Street-Ocean City
"$568,400",3,2,,1,1131 Asbury Ave Unit 2,Ocean City,NJ,08226,109 34th Street-Ocean City
"$839,900",4,2+,,2,332 W Surf Rd,Ocean City,NJ,08226,MONIHAN REALTY
"$144,900",1,1,447,,870 E 7th St Unit 202,Ocean City,NJ,08226,MARR AGENCY
"$1,899,000",6,6,"3,300",1,100 Ocean Rd,Ocean City,NJ,08226,Re/Max At The Shore
"$719,000",5,3,"1,990",1,2113 Simpson Ave Unit 1,Ocean City,NJ,08226,Re/Max At The Shore
"$119,900",1,1,272,,840 Ocean Ave Unit 24,Ocean City,NJ,08226,JESSE REAL ESTATE
"$789,900",4,2,,,5538 Central 2nd Ave Unit 2,Ocean City,NJ,08226,Berger Realty
"$399,000",3,2,"1,278",,2222 Central Ave Units 4 & 5,Ocean City,NJ,08226,55th Street-Ocean City
"$568,400",3,2,,1,1131 Asbury Ave Unit 2,Ocean City,NJ,08226,109 34th Street-Ocean City
"$839,900",4,2+,,2,332 W Surf Rd,Ocean City,NJ,08226,MONIHAN REALTY
"$144,900",1,1,447,,870 E 7th St Unit 202,Ocean City,NJ,08226,MARR AGENCY
"$172,900",1,1,,,3558 Simpson Ave,Ocean City,NJ,08226,109 34th Street-Ocean City
"$915,000",6,4,,2,1119 Ave W,Ocean City,NJ,08226,Battersea-Ocean City
"$2,899,000",5,5+,,2,3718 Wesley Ave Unit 2ND,Ocean City,NJ,08226,GRACE REALTY
"$2,699,000",5,5+,,2,3716 Wesley Ave Unit 1ST,Ocean City,NJ,08226,GRACE REALTY
"$374,900",3,2,,,13 North St Unit B,Ocean City,NJ,08226,Battersea-Ocean City
"$649,000",4,2,,1,3527 Asbury Ave Unit 1,Ocean City,NJ,08226,Berger Realty
"$1,034,900",4,3,,,3400 Wesley Ave Apt F,Ocean City,NJ,08226,KW Jersey Shore
"$448,500",3,2,"1,100",,1836 West Ave,Ocean City,NJ,08226,109 34th Street-Ocean City
"$5,549,000",0,,,2,3716-18 Wesley Ave,Ocean City,NJ,08226,GRACE REALTY
"$399,000",2,2,"1,100",1,500 Bay Unit 409 Ave Unit 2409,Ocean City,NJ,08226,Keller Williams Jersey Shore
"$599,900",4,2,,,207 31st St Unit 2,Ocean City,NJ,08226,Berger Realty
