price,beds,baths,area_sqft,car_space_garage,street,city,district,postal,broker
"$259,900",,,,,19 Jeffrey Dr,Beach Haven West,NJ,08050,"VAN DYK GROUP, INC."
"$99,000",2,2,"1,126",1,25 Sycamore Rd Unit 7,Stafford Township,NJ,08050,Van Dyk Group
"$489,900",3,2,"1,784",,141 Bruce Dr,Stafford Township,NJ,08050,"VAN DYK GROUP, INC."
"$245,000",3,2,"1,380",1,155 Albatross Ave,Stafford Township,NJ,08050,GREATER COASTAL REALTY INC.
"$319,000",3,2,"1,800",2,140 Gangway Ln,Stafford Township,NJ,08050,RE/MAX at Barnegat Bay
"$442,025",5,3,"3,242",2,111 Hawthorne Ln,Barnegat,NJ,08005,Keller Williams Shore Properties
"$422,290",4,3,"3,564",2,103 Hawthorne Ln,Barnegat,NJ,08005,Keller Williams Shore Properties
"$182,000",3,1,800,,16 Virginia Dr,Beach Haven West,NJ,08050,Home Alliance Realty
"$30,000",2,1,900,,24 Potomac Ct,Barnegat,NJ,08005,"HOME ALLIANCE REALTY, LLC"
"$405,567",5,3,"2,628",2,107 Hawthorne Ln,Barnegat,NJ,08005,Keller Williams Shore Properties
"$394,566",4,2+,"2,665",2,109 Hawthorne Ln,Barnegat,NJ,08005,Keller Williams Shore Properties
"$469,000",4,2+,,2,36 Hannah Lee Rd,Barnegat,NJ,08005,Keller Williams Shore Properties
"$259,000",4,2,"1,800",1,100 Dover Ct,Barnegat,NJ,08005,Keller Williams Preferred Properties
"$275,000",3,2+,"1,600",1,66 Windward Dr,Stafford Township,NJ,08050,Van Dyk Group
"$329,900",3,2,"1,584",,924 Jane Dr,Stafford Township,NJ,08050,"VAN DYK GROUP, INC."
"$65,000",2,2,"1,152",,20 Holly Rd,Eagleswood Township,NJ,08092,RE/MAX NEW BEGINNINGS REALTY
"$159,900",2,2,"1,360",1,10 Arrow Wood Ct,Barnegat,NJ,08005,RE/MAX At Barnegat Bay
"$174,000",2,1,974,,87 Water St,Barnegat,NJ,08005,Coldwell Banker Home Connection
"$393,500",6,3+,"3,222",2,16 Orchid Ln,Barnegat,NJ,08005,"Berkshire Hathaway HomeServices Zack Shore, REALTORS®"
"$55,000",,,,,Forge Rd,Eagleswood Township,NJ,08092,RE/MAX at Barnegat Bay
"$55,000",,,,,Forge Rd,West Creek,NJ,08092,RE/MAX at Barnegat Bay
"$375,000",3,2+,"1,965",2,20 Jeffrey Dr,Little Egg Harbor,NJ,08050,Prudential Zack Shore Properties-Ma
"$349,900",5,2+,,2,1033 Crew Ln,Manahawkin,NJ,08050,Keller Williams Shore Properties
"$360,000",4,2+,"2,200",2,13 Janelle Dr,Barnegat,NJ,08005,RE/MAX At Barnegat Bay
"$210,000",3,1,"1,164",,202 Village Dr,Barnegat,NJ,08005,"Diane Turton, Realtors - Point Pleasant Office"
"$319,900",3,2+,"1,965",2,11 Jeffrey Dr,Little Egg Harbor,NJ,08050,Prudential Zack Shore Properties-Ma
"$329,900",3,2+,"1,965",2,3 Jeffrey Dr,Little Egg Harbor,NJ,08050,Prudential Zack Shore Properties-Ma
"$374,900",5,3,"2,542",2,181 Forge Rd,Eagleswood Township,NJ,08092,Van Dyk Group
"$799,000",5,4,"2,920",2,1203 Jennifer Ln,Stafford Township,NJ,08050,RE/MAX At Barnegat Bay
"$299,900",3,1+,"1,552",1,110 Hatteras Rd,Barnegat,NJ,08005,RE/MAX NEW BEGINNINGS REALTY
"$269,900",3,3,"2,170",2,20 Hingham Ln,Barnegat,NJ,08005,C21/ Action Plus Rlty
"$269,900",3,3,"2,170",2,20 Hingham Ln,Barnegat,NJ,08005,C21/ Action Plus Rlty
"$240,000",2,2,"1,650",2,65 Quail Rd,Barnegat,NJ,08005,Van Dyk Group - Barnegat
"$150,000",,,,,126 Bengal Blvd,Barnegat,NJ,08005,Coldwell Banker Home Connection
"$334,900",4,3+,"2,100",2,6 Liberty Ct,Barnegat,NJ,08005,VAN DYK GROUP
"$319,900",3,2+,"1,965",2,13 Jeffrey Dr,Little Egg Harbor,NJ,08050,Prudential Zack Shore Properties-Ma
"$439,000",4,2+,"3,252",2,36 Carriage Way,Barnegat,NJ,08005,"Berkshire Hathaway HomeServices Zack Shore, REALTORS®"
