price,beds,baths,area_sqft,car_space_garage,street,city,district,postal,broker
"$292,000",2,2,"1,675",2,2757 Rockport Ln,Toms River,NJ,08755,RE/MAX ELITE
"$649,000",6,4+,"4,000",3,501 Eagle Point Dr,Toms River,NJ,08753,RE/MAX THE REAL ESTATE LEADERS
"$529,000",4,2,,1,32 Pilot Rd,Toms River,NJ,08753,"Weichert, Realtors - Forked River"
"$119,500",3,1,,,513 Middlesex St,Toms River,NJ,08757,Crossroads Realty - Executive Office
"$375,000",3,3,"1,560",1,70 Stevens Rd,Toms River,NJ,08755,Keller Williams Shore Properties
"$390,000",3,2+,"2,290",1,401 Susquehanna St Unit 1201,Toms River,NJ,08755,RE/MAX NEW BEGINNINGS REALTY
"$185,000",2,2,"1,364",1,43 Buena Visa Dr,Toms River,NJ,08757,ROBERT DEFALCO REALTY INC.
"$239,000",2,1+,,1,35 Mount Matterhorn Ln,Toms River,NJ,08753,Cassese Realtors
"$149,000",3,1,"1,056",,2101 Patton Rd,Toms River,NJ,08753,RE/MAX at Barnegat Bay
"$295,000",,,,,514 Bayview Dr,Toms River,NJ,08753,"Weichert, Realtors - Toms River"
"$174,900",2,2,"1,232",1,73 Guadalajara Dr,Toms River,NJ,08757,Crossroads Realty - Executive Office
"$399,000",,,,,1875 Whitesville Rd,Toms River,NJ,08755,"Sydney Krupnick Realty, Inc."
"$739,900",5,3+,"4,244",3,1401 Vincenzo Dr,Toms River,NJ,08753,Paschon Realty
"$309,000",4,2+,"1,854",2,872 Devonshire Rd,Toms River,NJ,08753,"Diane Turton, Realtors - Asbury Park"
"$269,900",4,2+,,2,105 George Rd,Toms River,NJ,08753,ARTHUR RUE AGENCY
"$248,000",3,3,"2,296",2,99 13th St,Toms River,NJ,08753,remax 1st advantage
"$725,000",4,2+,,2,1737 Symphony Ln,Toms River,NJ,08755,Keller Williams Shore Properties
"$469,000",4,3+,,2,790 Highmeadow Dr,Toms River,NJ,08753,CENTURY 21 Action Plus Realty
"$199,000",2,2,"1,404",1,2 Duxbury Rd,Toms River,NJ,08757,CBRivieraRealty3109
"$189,500",2,1,,1,2 Hatfield Rd,Toms River,NJ,08757,Crossroads Realty - Berkeley
"$415,000",4,2+,"2,320",2,1055 Frontage Rd,Toms River,NJ,08753,Berkshire Hathaway Home Services Signature Properties
"$349,900",4,2,"1,920",,164 Sunset Ave,Toms River,NJ,08755,RE/MAX at Barnegat Bay
"$249,900",2,2,"1,545",1,45 Stockport Dr,Toms River,NJ,08757,Long & Foster Real Estate Inc.
"$229,900",4,1,"1,464",1,1416 Broadway Blvd,Toms River,NJ,08757,Crossroads Realty - Executive Office
"$279,900",3,1+,,1,612 Loxley Dr,Toms River,NJ,08753,RE/MAX At Barnegat Bay
"$275,000",2,2,"1,738",2,2990 Springwater Ct,Toms River,NJ,08755,Ridge Realty
"$679,000",4,2+,,2,466 Brentwood Ave,Toms River,NJ,08755,Four Points Realty
"$299,000",4,1+,"2,223",1,1030 Zircon Dr,Toms River,NJ,08753,RE/MAX at Barnegat Bay
"$263,000",3,2+,,1,3803 Cleveland St,Toms River,NJ,08755,Keller Williams Realty - Monmouth/Ocean
"$275,000",3,2,"1,680",1,206 Torrey Pines Dr,Toms River,NJ,08757,Coldwell Banker Flanagan Realty
"$160,000",2,2,,1,14 Valencia St,Toms River,NJ,08757,"Diane Turton, Realtors - Lavallette"
"$175,000",2,2,,1,36 Harrington Dr S,Toms River,NJ,08757,RE/MAX REALTY 9
"$419,900",3,2+,"1,752",1,302-B Sunset Dr,Seaside Heights,NJ,08753,Habitat Real Estate
"$260,000",2,2,"1,730",1,1555 Heatherleaf Ln,Toms River,NJ,08755,"Weichert, Realtors - Brick"
"$229,000",3,1+,"1,092",,234 Anthony Ave,Toms River,NJ,08753,Coldwell Banker Flanagan Realty
"$249,000",2,2,,2,2 Napoli Ct,Toms River,NJ,08757,Keller Williams Shore Properties
"$254,900",2,2,"1,350",1,270 Costa Mesa Dr,Toms River,NJ,08757,Keller Williams Shore Properties
"$32,500",2,1,,,1 Magnolia St Unit B,Toms River,NJ,08757,Crossroads Realty - Manchester
"$240,000",3,2+,"1,900",1,3607 Cleveland St,Toms River,NJ,08755,Coldwell Banker Flanagan Realty
"$395,000",,,,,180 Route 37 W,Toms River,NJ,08755,Crossroads Realty - Executive Office
"$325,000",2,1,"1,271",1,1155 Silverton Rd,Toms River,NJ,08755,Imperial Real Estate Agency
"$429,900",4,3,,2,128 Village Rd,Toms River,NJ,08755,"RE/MAX REAL ESTATE, LTD."
"$247,349",2,2,"1,670",1,19 Bedford Ct,Toms River,NJ,08757,Healy Realtors
"$525,000",4,3,"2,926",2,108 Laurel Ave,Toms River,NJ,08753,CENTURY 21 Action Plus Realty
"$197,900",3,1,"1,250",,1412 Bismarck St,Toms River,NJ,08757,Carl Greenfield
"$199,000",2,1,"1,074",1,118 Norfolk Ct,Toms River,NJ,08757,"Weichert, Realtors - Forked River"
"$169,900",2,2,,1,2354 Mount Hood Ln,Toms River,NJ,08753,Coldwell Banker Residential Brokerage - Spring Lake Office
"$599,500",5,2+,"2,948",2,1232 Steeplechase Ct,Toms River,NJ,08755,Coldwell Banker Residential Brokerage - Spring Lake
"$459,900",3,2+,"2,319",2,1355 Wave Crest Ct,Toms River,NJ,08753,Keller Williams Shore Properties
"$325,000",3,2+,"1,850",1,598 Garfield Ave,Toms River,NJ,08753,Re/Max Real Estate Ltd.
"$254,875",3,2+,"1,929",1,4304 Galloping Hill Ln,Toms River,NJ,08755,RE/MAX at Barnegat Bay
"$205,000",2,2,,1,30 La Terraza Dr,Toms River,NJ,08757,Coldwell Banker Residential Brokerage - Westfield East Office
"$1,150,000",7,6+,"7,600",,600 Main St,Toms River,NJ,08753,"RE/MAX REAL ESTATE, LTD."
"$407,000",4,2+,"2,356",2,2073 Whitesville Rd,Toms River,NJ,08755,RE/MAX ON THE MOVE REALTY
"$839,900",4,2+,"3,350",2,1951 Pinta Ct,Toms River,NJ,08753,Gloria Nilson & Company Real Estate
"$175,000",2,2,"1,404",1,45 Whitaker Dr,Toms River,NJ,08757,"RE/MAX REAL ESTATE, LTD."
"$264,900",3,2,"1,508",2,1332 4th Ave,Manchester,NJ,08757,RE/MAX At Barnegat Bay
"$649,000",3,2,"2,050",1,14 Sunrise Ct,Toms River,NJ,08753,Keller Williams Shore Properties
"$179,900",3,2+,"1,222",,,Toms River,NJ,08755,"Weichert, Realtors - Forked River"
"$219,900",2,2,"1,232",1,11 Doral Dr,Berkeley,NJ,08757,RE/MAX NEW BEGINNINGS REALTY
"$224,900",2,2,"1,100",1,58 Barbuda St,Toms River,NJ,08757,"DANSKIN REAL ESTATE AGENCY, LLC"
