price,beds,baths,area_sqft,car_space_garage,street,city,district,postal,broker
"$270,000",4,3+,"2,258",2,201 Buckingham Ave,Trenton,NJ,08618,Moorestown
"$266,990",2,2,"1,250",0,The Union,Hamilton Township,NJ,08619,Edgewood Properties
"$620,000",3,2+,"2,451",3,8 Hemlock Ln,Ewing Township,NJ,08628,Realty Mark Central
"$224,999",4,2,"1,552",,9 Acton Ave,Ewing Township,NJ,08618,Smires
"$254,900",5,2+,"1,669",,10 Metekunk Dr,Ewing Township,NJ,08638,"Keypoint Realty, Llc"
"$125,000",3,1+,"1,396",1,1052 NE Pennington Hwy Unit None,Ewing,NJ,08618,Exit Blue Water Realty
"$189,900",2,2+,"1,140",,24 Cheverny Ct,Hamilton Square,NJ,08619,Weidel Real Estate
"$42,000",3,1+,"1,711",,25 Newell Ave,Trenton,NJ,08618,Garcia Realtors
"$67,000",3,1,"1,176",,114 Howell St,Trenton,NJ,08610,Hamilton-Robbinsville Home Marketing Center
"$267,990",2,2,"1,250",0,The Santa Fe,Hamilton Township,NJ,08619,Edgewood Properties
"$289,900",5,2+,"1,808",3,236 Arlington Ave,Hamilton Township,NJ,08620,remax tri county
"$369,900",5,3,"2,548",2,73 Joni Ave,Hamilton Township,NJ,08690,First Jersey Realty Group
"$279,900",4,2+,"1,939",,19 Rockland Rd,Ewing Township,NJ,08638,"The Bell Team, Realtors"
"$280,000",2,2,"1,299",,153 Burholme Dr,Hamilton Township,NJ,08691,Remax Tri-County
"$94,900",3,1,976,,706 Franklin St,Trenton,NJ,08610,Gloria Nilson & Co. Real Estate
"$115,000",4,1,"1,248",3,27 College St,Trenton,NJ,08611,RE/MAX Tri County
"$149,900",2,1,"1,304",,317 Lynwood Ave,Hamilton Township,NJ,08629,Gloria Nilson & Co. Real Estate
"$299,999",3,3,"1,857",3,34 Fallview Ct,Hamilton Square,NJ,08690,Hamilton-Robbinsville Home Marketing Center
"$265,000",3,1+,"1,452",,96 Cubberly Ave,Hamilton Square,NJ,08690,Hamilton-Robbinsville Home Marketing Center
"$179,000",4,1+,"1,071",,4 Lee Ct,Hamilton Township,NJ,08619,Garcia Realtors
"$259,900",3,1+,"1,360",,17 Winding Way,Hamilton Township,NJ,08620,Weidel Real Estate
"$138,500",2,1+,"1,050",,755 Mission Rd,Bordentown,NJ,08620,Weidel Real Estate
"$179,900",2,1,"1,005",,104 Versailles Ct,Hamilton Township,NJ,08619,KELLER WILLIAMS REALTY - West Monmouth
"$115,000",4,1+,"1,396",,208 Brinton Ave,Trenton,NJ,08618,Weidel Real Estate
"$34,900",3,1,"1,234",,9 Clover Ave,Ewing Township,NJ,08638,Pod Real Estate
"$150,000",,,,,292/296 Lafayette Ave,Ewing,NJ,08628,RE/MAX TriCounty
"$249,990",2,2,"1,150",0,The Topeka,Hamilton Township,NJ,08619,Edgewood Properties
"$384,900",4,2+,"2,252",2,52 Highbridge Rd,Bordentown,NJ,08620,Keller Williams Real Estate
"$149,000",4,1,"1,216",,1102 Park Ave,Trenton,NJ,08629,Weidel Realtors-Hamilton Square
"$279,000",3,1+,"1,478",1,134 Gary Dr,Hamilton Township,NJ,08690,Robert Russo
"$589,500",4,2+,"2,112",3,11 Gordon Rd,Millstone,NJ,08691,Smires
"$139,900",3,1,"1,384",,3 Klein Ave,Hamilton Township,NJ,08629,Coldwell Banker Residential Brokerage - Princeton Junction Office
"$175,000",2,2,"1,100",,9 Hemlock Ct,Hamilton Township,NJ,08619,RE/MAX IN TOWN
"$214,900",4,2,"1,470",,717 Arena Dr,Hamilton Township,NJ,08610,HomeSmart First Advantage Realty
"$99,900",,,,,4060 Quakerbridge Rd,Lawrenceville,NJ,08619,Crs Agency Elite Llc
"$29,900",4,1+,"2,041",,303 Bellevue Ave,Trenton,NJ,08618,Action Usa Rader Realty
"$124,900",,,"1,950",,866 Revere Ave,Trenton,NJ,08629,Re/Max Total
"$250,000",3,2+,"1,484",,25 Pinedale Ct,Hamilton Township,NJ,08690,ERA Central Realty Group
"$234,900",3,1+,"1,376",1,16 Tekening Way,Hamilton Township,NJ,08690,RE/MAX Tri County
"$274,900",3,1+,"1,673",3,52 Mae Dr,Hamilton Township,NJ,08620,"RE/MAX Properties, Ltd."
"$339,000",3,1+,"1,508",3,14 Wisteria Ln,Hamilton Square,NJ,08690,Hamilton-Robbinsville Home Marketing Center
"$26,500",3,1,"1,404",,428 Walnut Ave,Trenton,NJ,08609,Century 21 Advantage Gold
"$50,000",3,1,"1,323",,34 Homestead Ave,Ewing Township,NJ,08638,Key Realty Nj
"$389,900",3,3+,"1,468",2,1269 Park St,Robbinsville,NJ,08691,Gloria Nilson & Co. Real Estate
"$384,000",4,2,"1,728",2,72 Darrah Ln,Lawrenceville,NJ,08648,Gloria Nilson & Co. Real Estate
"$41,600",3,1,"1,292",1,342 Concord Ave,Ewing Township,NJ,08618,Suburban Realty Professionals
"$207,500",3,1,"1,406",,415 Rowan Ave,Hamilton Township,NJ,08610,Smires
"$100,000",3,1,"1,280",3,180 Anderson St,Trenton,NJ,08611,CENTURY 21 Alliance
"$424,900",4,2+,"2,459",1,9 Makefield Cir,Hamilton,NJ,08620,Exit 98 George Realty
"$440,000",3,3,"2,673",,110 Monte Carlo Dr,Hamilton Township,NJ,08691,Gloria Nilson & Co. Real Estate
"$259,800",3,1+,"1,048",,5 Grenville Ct,Hamilton Township,NJ,08690,Cb Hearthside-Regional Sales Center
"$239,900",3,1,"1,488",3,41 Lopatcong Dr,Ewing Township,NJ,08638,Gloria Nilson & Co. Real Estate
"$324,900",2,2+,"1,730",,80 Sundance Dr,Hamilton Township,NJ,08619,RE/MAX Tri County
"$150,000",4,1+,"1,260",3,122 Dickinson Ave,Hamilton Township,NJ,08629,Keller Williams Real Estate-Princeton
"$155,000",2,2,"1,100",,39 Cheverny Ct,Hamilton Township,NJ,08619,Coldwell Banker Residential Brokerage - Princeton Junction Office
"$119,900",4,1,"1,545",,38 Brenwal Ave,Ewing Township,NJ,08618,Coldwell Banker Residential Brokerage - Princeton Junction Office
"$64,900",2,1,860,,29 Hutchins Ave,Hamilton Township,NJ,08610,Coldwell Banker Residential Brokerage - Princeton Junction Office
"$75,000",2,1,983,,16 Edwin Ave,Hamilton Township,NJ,08610,Century 21 Value Plus Realty
"$115,000",4,2,"1,020",,49 Heil Ave,Trenton,NJ,08638,Home Ex Realty LLC
"$219,000",3,1,"1,602",,6 Shelton Ave,Ewing Township,NJ,08618,FAST TRACK PROPERTIES LLC
"$89,555",3,3,"2,088",yes,1420 W State St,Trenton,NJ,08618,Gloria Nilson & Co. Real Estate
"$124,900",2,1,837,1,223 Maddock Ave,Hamilton Township,NJ,08610,First Jersey Realty Group
"$69,900",,,,,613 E State St,Trenton,NJ,08609,"Abrams, Hutchinson"
"$105,000",2,2,"1,656",,517 Chestnut Ave,Trenton,NJ,08611,Home Ex Realty
"$130,000",6,2,"2,288",,491 Centre St,Trenton,NJ,08611,Home Ex Realty
"$320,000",2,2+,"1,746",1,118 Sundance Dr,Hamilton Township,NJ,08619,Smires
"$349,000",4,2+,"1,957",3,34 Cranbrook Rd,Hamilton Township,NJ,08690,Keller Williams Realty - Moorestown
"$199,999",3,1+,"1,612",,25 Samdin Blvd,Hamilton Township,NJ,08610,Smires
"$305,500",5,2+,"2,900",2,31 Richey Pl,Trenton,NJ,08618,Weidel Real Estate
"$219,900",3,2+,"1,502",yes,2815 Madison Ave,Ewing Township,NJ,08638,Keller Williams Real Estate
"$210,000",2,1,"1,075",,721 Whitehorse Mercerville Rd,Hamilton Township,NJ,08610,Hamilton-Robbinsville Home Marketing Center
"$61,000",4,2,"1,478",,918 Fairmount Ave,Trenton,NJ,08629,Pod Real Estate
"$135,000",2,1,"1,084",,23 Walnut St,Trenton,NJ,08610,Keller Williams Realty - Medford
"$55,000",3,1,942,,492 Genesee St,Trenton,NJ,08611,Keller Williams Real Estate-Princeton
"$24,900",6,,"2,860",2,131 Spring St,Trenton,NJ,08618,"Weichert, Realtors - East Windsor"
"$169,900",5,2+,"2,454",yes,475 Hamilton Ave,Trenton,NJ,08609,Garcia Realtors
"$415,000",4,2+,,3,14 Holland Ter,Hamilton Township,NJ,08610,"Continental Real Estate Group, Inc."
"$349,900",3,2+,"2,110",3,30 Martha Dr,Hamilton Township,NJ,08610,Keller Williams Realty - Moorestown
"$449,900",4,2+,"4,048",,519 Grand Ave,Ewing Township,NJ,08628,Keller Williams Realty - Moorestown
"$59,900",3,1,"1,064",,235 Columbia Ave,Trenton,NJ,08618,ERA Statewide Realty-Hillsborough
"$319,900",2,2+,"1,730",3,84 Sundance Dr,Hamilton Township,NJ,08619,Weidel Real Estate
"$259,000",4,1,"1,048",,65 Aberfoyle Dr,Hamilton Township,NJ,08690,RE/MAX Tri County
"$218,500",3,1,,,45 William St,Hamilton Township,NJ,08619,Long & Foster Real Estate Inc.
"$465,000",3,3,"2,903",,85 Monte Carlo Dr,Hamilton Township,NJ,08691,ERA Central Realty Group
"$189,000",3,2+,"1,596",3,201 Norway Ave,Hamilton Township,NJ,08609,Princeton Junction
"$275,000",3,2,"1,800",,349 W Upper Ferry Rd,Ewing,NJ,08628,Coldwell Banker Residential Brokerage - Princeton Office
"$350,000",2,2,"1,804",,35 Bear Meade Dr,Hamilton Township,NJ,08691,RE/MAX World Class Realty
"$131,700",2,1,"1,218",yes,82 Hauser Ave,Trenton,NJ,08620,RealHome Services & Solutions
"$149,000",4,2,"1,496",,257 Randall Ave,Hamilton Township,NJ,08610,Smires
"$162,500",2,2,"1,100",,60 Holly Ct,Hamilton Township,NJ,08619,Smires
"$184,900",3,1+,"1,152",,1313 Ohio Ave,Lawrence Township,NJ,08648,Home Ex Realty
"$157,000",2,2,"1,310",,79 Kyle Way,Ewing Township,NJ,08628,Princeton Junction
"$250,000",,,,,3 Hickory Way,Robbinsville,NJ,08691,Realmart Realty - Flat Fee to 1% Agent Assist Service
"$125,000",4,1+,"1,468",,271 Lynwood Ave,Hamilton Township,NJ,08609,ERA Central Realty Group
"$126,900",2,1,846,2,203 Bonnie Ave,Hamilton Township,NJ,08629,RE/MAX Tri County
"$299,000",3,2,"1,646",,19 Bonnie Rae Dr,Yardville,NJ,08620,Hamilton-Robbinsville Home Marketing Center
"$205,000",4,2,"1,368",yes,608 Maple Ave,Ewing Township,NJ,08618,Keller Williams Realty - Moorestown
"$65,000",2,2,"1,656",,305 Rutherford Ave,Trenton,NJ,08618,ERA Central Realty Group
"$285,500",3,1+,"1,360",yes,4 Valley View Rd,Hamilton,NJ,08620,"Abrams, Hutchinson"
"$234,900",2,1+,"1,496",,32 Pinedale Ct,Hamilton Township,NJ,08690,RE/MAX Tri County
"$378,000",3,3,"1,876",3,35 Endsleigh Pl,Robbinsville,NJ,08691,Halo Realty Llc
"$329,900",3,2+,"1,232",,119 Terrill Ave,Hamilton Township,NJ,08619,Century 21 Veterans-Newtown
"$394,900",,,"1,613",,110 Klockner Rd,Hamilton Township,NJ,08619,ERA Central Realty Group
"$89,900",2,1,"1,635",,1933 Liberty St,Trenton,NJ,08629,GERARD GALSTER
"$295,000",2,2,"1,407",,225 Sparrow Dr,Hamilton Township,NJ,08690,RE/MAX First Realty
"$99,000",4,1,"1,148",,821 Spruce St,Trenton,NJ,08638,Home Ex Realty - Broker
"$80,000",,,"1,504",,125 Hoffman Ave,Trenton,NJ,08618,Realty Mark Advantage
"$239,900",2,1+,"1,408",,10 Devon Ct,Robbinsville,NJ,08691,Gloria Nilson & Co. Real Estate
"$25,900",3,1,"1,526",,924 Chestnut Ave,Trenton,NJ,08611,Princeton Junction
"$145,000",,,,,167 Robbinsville Allentown Rd,Robbinsville,NJ,08691,Coldwell Banker Schiavone & Associates
"$55,000",4,1+,"1,640",,423 Division St,Trenton,NJ,08611,Frank Vincent Realtors
"$70,000",3,1,"1,212",,835 Stuyvesant Ave,Trenton,NJ,08618,Harkes Realty And Associates
"$800,000",5,4+,"3,372",yes,23 Brookshire Dr,Robbinsville,NJ,08691,Keller Williams Real Estate-Princeton
"$279,900",3,1+,"1,360",yes,50 Valley View Rd,Hamilton Square,NJ,08620,Gloria Nilson & Co. Real Estate
"$160,000",4,1,"1,956",,242 Jackson St,Trenton,NJ,08611,Keller Williams Real Estate-Princeton
