price,beds,baths,area_sqft,car_space_garage,street,city,district,postal,broker
"$555,000",3,2,,2,777 North Dr,Brick,NJ,08724,RIVEREDGE REALTY
"$749,000",4,2,"1,400",,315 4th Ave,Belmar,NJ,07719,Century 21 Action Plus Realty
"$359,000",3,2,,1,400 Deuce Dr,Wall,NJ,07719,D'AMICO & MCCONNELL REALTORS
"$315,990",3,2,"1,256",1,32 Virginia Dr,Howell,NJ,07731,CENTURY 21 Lawrence Realty
"$594,900",3,3+,"2,748",2,6 Augusta Ct,Neptune Township,NJ,07753,Raritan Bay Realty
"$459,950",4,2+,"2,431",2,288 Van Ave,Brick,NJ,08724,Weichert Realtors
"$675,000",4,4,"3,792",3,124 Five Points Rd,Howell,NJ,07731,Keller Williams Realty - Monmouth/Ocean
"$595,000",2,2+,"2,313",1,3 Marina Ct,Belmar,NJ,07719,Coldwell Banker Residential Brokerage - Rumson/Fair Haven Office
"$345,000",3,2,"1,658",1,19 Kensington Dr,Howell,NJ,07731,Realmart Realty - Flat Fee to 1% Agent Assist Service
"$285,000",4,2,"1,659",,255 Morris Ave,Brick,NJ,08724,"RE/MAX REAL ESTATE, LTD."
"$499,000",,,,,Alexander Ave,Howell,NJ,07731,Keller Williams Realty Central Monmouth
"$499,000",,,,,1 Alexander Ave,Howell,NJ,07731,Keller Williams Realty Central Monmouth
"$519,000",5,3,,1,334 Alexander Ave,Howell,NJ,07731,C21/ VALUE PLUS REALTY
"$499,999",3,2+,"2,200",2,105 Prospect Ave,Neptune Township,NJ,07753,"Diane Turton, Realtors - Point Pleasant Office"
"$292,900",3,1,,1,77 Western Dr,Howell,NJ,07731,Re/Max Real Estate Ltd.
"$469,900",3,2+,"1,910",,325 Highland Ave,Neptune Township,NJ,07753,Ward Wight Sotheby's International Realty
"$999,000",4,3+,"4,460",3,2121 Friar Ct,Wall,NJ,07719,Gloria Nilson & Co. Real Estate
"$380,000",4,2,,,518 Woodmere Ave,Neptune Township,NJ,07753,Oliver Brothers
"$409,900",4,2+,,2,41 Sami Dr,Howell,NJ,07731,RE/MAX Homeland REALTORS
"$249,000",2,2,"1,498",1,9 Olympus Way,Brick,NJ,08724,Coldwell Banker Flanagan Realty
"$599,900",3,2+,,2,1630 Marconi Rd,Wall,NJ,07719,Re/Max Real Estate Ltd.
"$249,999",3,1,,1,145 Coolidge Dr,Brick,NJ,08724,KELLER WILLIAMS REALTY
"$309,000",3,1,"1,651",,2811 Hayes St,Wall,NJ,07719,Gloria Nilson & Co. Real Estate
"$149,900",,,,,391 Conover St,Howell,NJ,07731,Birchler Realtors
"$239,000",3,2,,1,505 Oak St,Brick,NJ,08724,"RE/MAX Bay Point, REALTORS"
"$320,000",3,1+,,,130 W 3rd St,Howell,NJ,07731,Four Points Realty
"$299,000",3,1+,"1,674",1,445 19th Ave,Brick,NJ,08724,"Diane Turton, Realtors - Point Pleasant Office"
"$339,000",3,2,,2,127 S Main St,Farmingdale,NJ,07727,RE/MAX REALTY 9
"$489,900",3,2+,"2,299",1,165 Tennis Ct,Wall,NJ,07719,D'AMICO & MCCONNELL REALTORS
"$289,000",4,2,,1,25 Manor Dr,Neptune Township,NJ,07753,The Gallery Residential Brokerage
"$340,000",4,2,"1,576",1,754 Maple Ave,Brick,NJ,08724,Keller Williams Realty Ocean Point
"$275,900",3,1,"1,149",,453 Shady Ln,Howell,NJ,07731,"Weichert, Realtors - Middletown"
"$340,000",3,2,,1,1808 Central Ave,Wall,NJ,07719,The Gallery Residential Brokerage
"$348,500",3,2+,,1,784 Constitution Dr,Brick,NJ,08724,"CENTURY 21 Herbertsville Real Estate Company, Inc"
"$199,900",3,1,"1,167",,504 Georgia Tavern Rd,Howell,NJ,07731,Keller Williams Realty - Monmouth/Ocean
"$149,900",2,1+,,,128 Northrup Dr,Brick,NJ,08724,Four Points Realty
"$1,285,000",,,,,2012 Ocean Ave,Belmar,NJ,07719,RE/MAX Paradigm Realty Group
"$278,000",3,1,,,104 Hemlock Dr,Neptune Township,NJ,07753,Coldwell Banker Residential Brokerage - Wall Township Office
"$419,000",3,2+,,2,4 Rainbow Dr,Howell,NJ,07731,"RE/MAX REAL ESTATE, LTD."
"$699,900",3,3,"1,622",,1402 C St,Belmar,NJ,07719,CENTURY 21 Coastal Realtors
"$349,900",2,1,,,1830 Laurel Ter,Lake Como,NJ,07719,Ward Wight Sotheby's International Realty
"$319,000",3,2,,1,10 Jumping Bush Way,Howell,NJ,07731,"Weichert, Realtors - Howell"
"$234,000",3,1,,1,106 Malmy Dr,Brick,NJ,08724,Gloria Nilson & Co. Real Estate
"$269,900",3,2+,"1,640",1,36 Saxton Rd,Farmingdale,NJ,07727,REMAX GATEWAY
"$359,000",3,2+,,2,5 Blueberry Path,Howell,NJ,07731,Realmart Realty - Flat Fee to 1% Agent Assist Service
"$399,000",4,2+,,,12 Jeanne Dr,Neptune Township,NJ,07753,Better Homes and Gardens Real Estate Murphy & Co.
"$220,000",3,2,"1,358",2,603 Highland Ave,Neptune Township,NJ,07753,"Diane Turton, Realtors - Point Pleasant Office"
"$284,900",3,2+,"1,521",1,3 Woodchuck Ct,Tinton Falls,NJ,07753,Realmart Realty - Flat Fee to 1% Agent Assist Service
"$314,500",4,2+,,2,12 Tinker Ct,Howell,NJ,07731,Iinj Realty
"$159,900",2,1,,1,50 Watkins Rd,Brick,NJ,08724,Gloria Nilson & Co. Real Estate
"$287,000",2,1+,"1,429",1,92 Sleepy Hollow Dr,Brick,NJ,08724,CENTURY 21 Solid Gold Realty Inc.
"$984,997",4,4+,"5,691",3,1 Natures Dr,Farmingdale,NJ,07727,Encore Real Estate
"$410,000",4,2+,"2,025",1,610 Marion St,Neptune Township,NJ,07753,Oliver Brothers
"$536,900",4,2+,,2,28 Callaghan Rd,Brick,NJ,08724,"Diane Turton, Realtors - Bay Head"
"$875,000",5,4,"3,684",2,1711 River Rd,Belmar,NJ,07719,"Weichert, Realtors - Holmdel"
"$299,000",5,2,"1,920",,749 Princeton Ave,Brick,NJ,08724,Keller Williams Shore Properties
"$399,000",5,4,"2,592",1,1118 Sally Ike Rd,Brick,NJ,08724,Berkshire Hathaway Home Services Signature Properties
"$649,900",4,2+,"3,098",2,2393 Orchard Crest Blvd,Wall Township,NJ,08736,"RE/MAX REAL ESTATE, LTD."
"$624,900",5,2+,"2,384",,1901 Wall Church Rd,Wall,NJ,07719,Oliver Brothers
"$325,000",3,2,,1,12 Toomin Dr,Neptune Township,NJ,07753,Oliver Brothers
"$325,500",3,1,"1,076",1,1005 Lakewood Farmingdale Rd,Howell,NJ,07731,Keypoint Realty Llc
"$329,999",2,2+,"1,424",1,99 Steiner Ave Unit 24,Neptune City,NJ,07753,Gloria Nilson & Co. Real Estate
"$262,000",2,2+,"1,854",,62 Winged Foot Ct Unit 1000,Howell,NJ,07731,Redfin
"$384,999",3,2+,,1,53 Racquet Rd,Wall,NJ,07719,KELLER WILLIAMS REALTY
"$234,500",4,1,,,114 Harding Dr,Brick,NJ,08724,Re/Max Real Estate Ltd.
"$282,500",3,1+,"1,342",,43 Alan Ter,Howell,NJ,07731,"Weichert, Realtors - Howell"
"$419,000",4,3+,,1,1 Muir Ln,Howell,NJ,07731,Imperial Real Estate Agency
"$299,000",3,1,952,,202 Cliffwood Dr,Neptune Township,NJ,07753,Oliver Brothers
"$259,900",3,2+,,2,24 Spruce Hollow Dr,Howell,NJ,07731,RE/MAX ACROSS TOWN REALTY
"$99,800",2,1,800,,132 W 2nd St,Howell,NJ,07731,KELLER WILLIAMS REALTY
"$399,000",,,,,337 Fisher Ave,Neptune Township,NJ,07753,Berkshire Hathaway Homeservice Signature Properties
"$795,000",,,,,1126 Corlies Ave,Neptune Township,NJ,07753,Berkshire Hathaway Homeservice Signature Properties
"$365,000",3,2+,,,27 Gettysburg Dr,Howell,NJ,07731,Keller Williams Realty - Monmouth/Ocean
"$269,900",2,2+,"1,900",,163 Dorado Beach Ct,Howell,NJ,07731,Gloria Nilson & Company Real Estate
"$429,900",4,4,,2,8 Beacon Dr,Howell,NJ,07731,Realmart Realty - Flat Fee to 1% Agent Assist Service
"$199,500",4,2,"1,736",,34 Belle Pl,Neptune City,NJ,07753,"Weichert, Realtors - Old Bridge"
"$290,000",4,1,"1,408",1,17 Stratford Dr,Brick,NJ,08724,Gloria Nilson & Co. Real Estate
"$175,000",2,2,,,464 Magnolia Ct,Howell,NJ,07731,Keller Williams Realty - Monmouth/Ocean
"$269,900",3,1,,,208 Hemlock Dr,Neptune Township,NJ,07753,Oliver Brothers
"$249,000",2,2+,"1,221",,9 Jodhpur Ct,Tinton Falls,NJ,07753,Heritage House Sotheby's International Realty
"$345,000",4,2+,,1,102 Pine Needle St,Howell,NJ,07731,Ward Wight Sotheby's International Realty
"$519,000",4,2+,,2,3410 Quaker St,Wall,NJ,07719,D'AMICO & MCCONNELL REALTORS
"$344,000",4,2,"2,025",2,7 Sunset Dr,Howell,NJ,07731,RE/MAX REALTY 9
"$299,000",4,2,"1,859",1,144 Princeton Ave,Brick,NJ,08724,D'Amico & McConnell Realtors
