price,beds,baths,area_sqft,car_space_garage,street,city,district,postal,broker
"$74,500",4,1,"1,309",,1329 McKinley Ave,West Deptford,NJ,08096,RE/MAX Preferred-Sewell
"$89,900",3,2+,,2,16 Victorian Way,West Deptford,NJ,08096,CENTURY 21 Rauh & Johns
"$89,900",3,2+,,1,17 Victorian Way,West Deptford,NJ,08096,CENTURY 21 Rauh & Johns
"$69,900",2,2,"1,949",,596 Frances Ave,West Deptford,NJ,08096,RE/MAX Connection Realtors - Haddonfield
"$28,250",3,1,"1,488",,112 W Buck St,Paulsboro,NJ,08066,RE/MAX Connection Realtors - Mantua
"$479,000",4,3+,"3,364",3,39 Kristen Ln,Mantua,NJ,08051,Keller Williams Realty - Cherry Hill
"$179,900",3,2,"1,322",,628 Woodland Ave,Deptford,NJ,08093,CENTURY 21 Rauh & Johns
"$99,900",2,1,872,,1316 Tristram Cir,Mantua,NJ,08051,CENTURY 21 Premier Realty
"$147,000",3,2,"1,279",,68 Highbridge Ln,West Deptford,NJ,08086,Keller Williams Realty - Washington Town
"$275,000",4,2,"1,862",3,177 Covington Ln,West Deptford,NJ,08096,Nancy Kowalik Real Estate Group
"$319,900",3,2,"2,353",2,280 Night Hawk Cir,Thorofare,NJ,08086,Vineland
"$289,900",4,2+,"2,386",yes,130 Copperfield Dr,Deptford Township,NJ,08096,Moorestown
"$108,000",1,1,872,,1186 Tristram Cir,Mantua,NJ,08051,"Weichert, Realtors - Washington Township"
"$109,900",2,1,780,,148 Walnut St,Westville,NJ,08093,Harvest Realty
"$25,000",2,1,,,37 Bluebird Rd,Mantua,NJ,08051,Old World Realty
"$139,900",4,2,"1,798",3,62 N American St,Woodbury,NJ,08096,Tesla Realty Group LLC
"$40,000",3,2,"1,164",,16 Marion Ave,Westville,NJ,08093,"MLS Direct Real Estate, Inc"
"$249,900",3,2+,"2,052",3,241 Sickle Ln,Deptford Township,NJ,08096,"Weichert, Realtors - Medford"
"$154,900",2,2+,"1,312",,402 Accolon Ct,Mantua,NJ,08051,Keller Williams Realty - Washington Town
"$211,999",4,2+,"2,061",2,103 Dubois Ave,West Deptford,NJ,08096,RE/MAX Connection Realtors - Mantua
"$194,900",2,2+,"1,962",1,1031 Moore Rd,West Deptford,NJ,08086,Community
"$389,000",4,2+,"2,592",,20 Springhill Rd,Mantua,NJ,08051,CENTURY 21 Premier Realty
"$139,500",2,1,890,,57 Watkins Ave,Woodbury,NJ,08096,Keller Williams Realty - Washington Town
"$150,000",4,2,"1,404",,273 Marion Ave,Westville,NJ,08093,Re/Max Preferred
"$99,900",6,1+,"3,156",2,311 Cooper St,Woodbury,NJ,08096,TRACI CLYDE
"$79,900",2,2,"1,780",3,607 2nd Ave,Woodbury,NJ,08096,Keller Williams Hometown Realty - Swedesboro
"$159,000",3,1+,"1,830",,22 S American St,Woodbury,NJ,08096,"Art Duffield Realty, LLC"
"$238,000",4,2+,"2,332",,143 Betsy Ross Way,Deptford Township,NJ,08096,Exit 1st United Realty
"$89,000",4,1,"1,779",yes,800 Spruce St,Paulsboro,NJ,08066,"Weichert, Realtors - Mullica Hill"
"$55,000",3,1,936,yes,203 Union St,Woodbury,NJ,08096,RealHome Services & Solutions
"$249,999",3,2,"1,672",3,249 Wenonah Ave,Mantua,NJ,08051,Re/Max Preferred
"$163,900",3,2,"1,388",yes,6 E Lecato Ave,Thorofare,NJ,08086,RE/MAX Preferred-Sewell
"$49,900",2,1,600,,129 Cove Rd,Mantua,NJ,08051,GERARD GALSTER
"$69,900",,,,,27 Main St,Mantua,NJ,08051,Drexel Realty Group
"$119,900",3,1,960,3,119 Billings Ave,Paulsboro,NJ,08066,Harvest Realty
"$181,900",5,4,"2,352",,500 Hessian Ave,National Park,NJ,08063,Century 21 Town and Country Realty
"$129,900",0,,,,238 W Olive St,Westville,NJ,08093,Keller Williams Realty - Washington Township
"$34,900",3,1+,"1,310",,621 N Delaware St,Paulsboro,NJ,08066,CENTURY 21 Rauh & Johns
"$202,900",3,2,"1,228",,0B Essex Ave,Thorofare,NJ,08086,Washington-Gloucester Home Marketing Center
"$259,900",5,2+,"1,971",yes,14 Malibu Ln,West Deptford,NJ,08096,RE/MAX Preferred-Sewell
"$95,000",2,1,979,,977 Hessian Ave,West Deptford,NJ,08093,Keller Williams Realty - Washington Township
"$214,900",3,1+,"1,575",yes,191 Denver Ave,Mantua,NJ,08051,Keller Williams Realty - Washington Town
"$63,000",3,1,925,,43 Lehigh Ave,Westville,NJ,08093,Mullica Hill
"$69,900",3,1+,"1,380",,413 Billingsport Rd,Paulsboro,NJ,08066,Coldwell Banker Preferred - Haddonfield Office
"$125,000",3,1+,"1,248",,274 Wenonah Ave,Mantua,NJ,08051,RE/MAX Connection Realtors - Mantua
"$171,500",3,2+,"1,691",,81 Tarragon Ct,West Deptford,NJ,08086,Mullica Hill North
"$164,900",3,1+,"1,452",2,314 Myrtle Ave,Woodbury,NJ,08096,Re/Max Associates - Sewell
"$170,000",3,2+,"1,476",,829 Saint Regis Ct,West Deptford,NJ,08051,Mullica Hill
"$115,000",2,2,812,,145 Ashton Ct,Mantua,NJ,08051,Washington-Gloucester Home Marketing Center
"$134,900",2,1,"1,062",,1433 Tristram Cir,Mantua,NJ,08051,Mullica Hill
"$150,000",2,2+,"1,232",,207 Steeplechase Ct,Deptford Township,NJ,08096,Re/Max Community
"$109,900",3,1+,"1,674",2,366 Main St,Mantua,NJ,08051,RE/MAX Connection Realtors - Mantua
"$100,000",,,,,Tarpy Dr Lot 151,Woodbury,NJ,08096,Penzone Realty
"$125,000",2,2,"1,241",,257 Steeplechase Ct,Woodbury,NJ,08096,Keller Williams Realty-Voorhees
"$28,500",2,1,,,167 Mockingbird Ln,Mantua,NJ,08051,"Weichert, Realtors - Mullica Hill"
"$240,000",3,2+,"2,094",2,1023 Buckingham Dr,Thorofare,NJ,08086,Harvest Realty
"$49,900",3,1+,"1,161",,411 Pine Ave,Woodbury,NJ,08096,Marlton-Voorhees Home Marketing Center
"$62,000",3,2,"1,519",,10 Colonial Ave,West Deptford,NJ,08096,HomeSmart First Advantage Realty
"$189,900",2,2,"1,592",,52 Pelican Pl,West Deptford,NJ,08086,Mullica Hill
"$139,999",3,2+,"1,408",,124 Brent Ct,Thorofare,NJ,08086,4 Sale Realty
"$150,000",3,1,"1,000",,76 Lee Ave,Deptford Township,NJ,08096,ReMax Preferred
"$99,000",3,1,"1,439",,412 Nassau Ave,Paulsboro,NJ,08066,Kw Realty-East Monmouth
"$142,500",2,2,"1,260",,306 Redbud Ln,Mantua,NJ,08051,Keller Williams Realty - Washington Township
"$49,000",1,1,656,,806 Pitman Ave,National Park,NJ,08063,"Weichert, Realtors - Washington Township"
"$28,900",3,1,"1,248",,437 Sheridan Ave,Paulsboro,NJ,08066,"Usrealty.Com, Llp"
"$190,000",3,1+,"1,608",2,1276 Puritan Ave,West Deptford,NJ,08096,Mullica Hill
"$204,900",3,1+,"2,084",yes,104 S Childs St,Woodbury,NJ,08096,Vineland
"$128,800",3,1,"1,400",3,141 Nassau Ave,Paulsboro,NJ,08066,Medford
"$199,500",3,2,"1,625",,112 Dubois Ave,West Deptford,NJ,08096,Re/Max Preferred
"$30,000",3,1,657,,16 1st Ave,West Deptford,NJ,08051,RE/MAX Connection Realtors - Haddonfield
