price,beds,baths,area_sqft,car_space_garage,street,city,district,postal,broker
"$486,000",2,2,"1,250",,9904 Seapointe Blvd Apt 418,Lower Township,NJ,08260,Keller Williams Realty - Jersey Shore
"$274,900",3,1+,988,,7 Venice Ave Unit C,West Wildwood,NJ,08260,ATLANTIS REALTY
"$50,000",3,1,"1,308",,415 W Glenwood Ave,Wildwood,NJ,08260,RE/MAX at The Shore
"$254,900",5,2,"1,350",2,113 E Walnut Ave,North Wildwood,NJ,08260,WEICHERT REALTORS COASTAL REO
"$174,900",1,1,531,,1800 Ocean Ave Unit 309,North Wildwood,NJ,08260,Don Martin Realty
"$375,000",3,2,,,326 E 3rd Ave Unit 301,North Wildwood,NJ,08260,"DESATNICK REAL ESTATE, L.L.C."
"$102,000",0,1,378,,222A Allen Dr,North Wildwood,NJ,08260,WEICHERT REALTORS COASTAL
"$159,500",1,1,,,711 Ocean Ave Unit 108,North Wildwood,NJ,08260,CENTURY 21 Alliance
"$140,000",1,1,495,,404 E Denver Ave Unit 310,Wildwood Crest,NJ,08260,Keller Williams Realty - Jersey Shore
"$189,000",2,1,,,119 E Rosemary Ave Unit 5,Wildwood Crest,NJ,08260,"Coldwell Banker James C. Otton Real Estate, Inc."
"$384,900",3,2,,,335 E 18th Ave Unit A,North Wildwood,NJ,08260,LEES REAL ESTATE AGENCY
"$257,500",3,2+,"1,500",,223 E Baker Ave Unit A,Wildwood,NJ,08260,"Don Martin Realty, Inc"
"$699,000",4,3+,"2,697",,105 W Syracuse Ave,Wildwood Crest,NJ,08260,RE/MAX BEACH HOME REALTY
"$339,000",3,2,"1,246",,301 E Leaming Ave Unit H,Wildwood,NJ,08260,Weichert Realtors Coastal
"$225,000",3,1+,,,215 E Hand Ave Unit 6,Wildwood,NJ,08260,WEICHERT REALTORS COASTAL
"$149,900",2,2,,,132 W Roberts Ave Unit 4,Wildwood,NJ,08260,"Jersey Cape Realty, Inc."
"$319,000",4,2+,"2,550",,2309 Central Ave,North Wildwood,NJ,08260,"Realhome Services And Solutions,Inc"
"$649,900",5,4,"3,000",2,309 E 6th Ave,North Wildwood,NJ,08260,RE/MAX at The Shore
"$215,000",2,1,588,,209 211 W 18th Ave Unit 1B,North Wildwood,NJ,08260,"Long & Foster Real Estate, Inc Nww"
"$269,000",2,1,"1,050",,5301 Ocean Ave Apt 209,Wildwood,NJ,08260,CHRIS HENDERSON REALTY
"$134,900",1,1+,,,300 Ocean Ave # 106,North Wildwood,NJ,08260,Keller Williams/Atlantic Shore
"$699,000",5,3+,"2,400",3,206 W Morning Glory Rd,Wildwood Crest,NJ,08260,RE/MAX at The Shore
"$219,900",2,1,,,414 W Maple Ave,Wildwood,NJ,08260,WEICHERT REALTORS HOEY GROUP/VILLAS
"$625,000",5,3+,,,501 W Poplar Ave,West Wildwood,NJ,08260,CENTURY 21 Alliance
"$275,000",2,1+,,,317 E 21st St Unit 2ND,North Wildwood,NJ,08260,"DESATNICK REAL ESTATE, L.L.C."
"$535,500",3,2+,,,9700 Atlantic Ave Unit S3,Lower Township,NJ,08260,Cabrera Coastal Real Estate
"$509,000",3,2+,,,408 E Myrtle Ave Unit 307,Wildwood Crest,NJ,08260,CENTURY 21 Alliance
"$139,900",,,,,4203 Susquehanna Ave,Wildwood,NJ,08260,CENTURY 21 Alliance
"$304,900",3,2+,,,227 E Andrews Ave Unit B-MIDDLE,Wildwood,NJ,08260,Weichert Realtors Coastal
"$254,900",3,2+,,,233 E Baker Ave Unit B,Wildwood,NJ,08260,Re/Max At The Shore
"$318,000",4,2+,,,124 E Leaming Ave Unit B,Wildwood,NJ,08260,"Long & Foster Real Estate, Inc Sh"
"$199,900",3,1+,,,107 W 18th Ave,North Wildwood,NJ,08260,WEICHERT REALTORS COASTAL
"$167,500",1,1,379,,513 E 7th Ave Unit 203,North Wildwood,NJ,08260,Keller Williams Realty - Jersey Shore
"$123,900",2,1,,,5001 Park Blvd Unit 4,Wildwood,NJ,08260,Blue Ocean Realty
"$45,000",1,1,,,225 E Wildwood Ave Unit 501,Wildwood,NJ,08260,LEES REAL ESTATE AGENCY
"$269,000",3,2,,1,640 W Pine Ave,West Wildwood,NJ,08260,WEICHERT REALTORS COASTAL
"$999,000",5,4,"2,600",,510 W 18th Ave Unit 510W18TH,North Wildwood,NJ,08260,Re/Max At The Shore
"$599,900",4,3+,,1,315 W Chestnut Ave,North Wildwood,NJ,08260,"Cape Islands Realty, Llc"
"$585,000",4,3,,1,322 E 16th Ave,North Wildwood,NJ,08260,WEICHERT REALTORS COASTAL REO
"$249,000",4,2,,3,232 W Pine Ave,Wildwood,NJ,08260,Weichert Coastal Realtors
"$309,000",3,2+,,1,123 E Spicer Ave,Wildwood,NJ,08260,The Oceanside Realty Team
"$334,900",4,2+,"1,664",4,226 W Buttercup Rd,Wildwood Crest,NJ,08260,RE/MAX At The Shore
"$789,000",4,3+,"3,137",1,301 E Farragut Rd,Wildwood Crest,NJ,08260,Daniels Realty-Diamond Beach
"$324,900",2,2,975,,300 E Raleigh Ave Apt 303,Lower Township,NJ,08260,RE/MAX At The Shore
"$295,000",4,3+,"2,360",,127 W Schellenger Ave,Wildwood,NJ,08260,Weichert Realtors Coastal
"$424,900",6,3,,,8401-8403 New Jersey Ave,Wildwood Crest,NJ,08260,CENTURY 21 Alliance
"$219,000",1,1,,,1000 Kennedy Dr Unit 413,North Wildwood,NJ,08260,Weichert Coastal Realtors
"$299,000",6,2,,,303 E Syracuse Ave,Wildwood Crest,NJ,08260,CHRIS HENDERSON REALTY
"$219,900",2,1,,,108 W Heather Rd Unit A,Wildwood Crest,NJ,08260,Keller Williams
"$284,900",3,2+,,1,439 W Baker Ave,Wildwood,NJ,08260,Blue Ocean Realty
"$449,900",3,2,,,407 E Monterey Ave Unit 302,Wildwood Crest,NJ,08260,LEES REAL ESTATE AGENCY
"$459,000",4,3,"1,700",,341 E 6th Ave Unit 3,North Wildwood,NJ,08260,ATLANTIS REALTY
"$329,000",3,2,,,214 E 25th Ave Apt 101,North Wildwood,NJ,08260,CALLOWAY REALTY
"$399,900",4,1+,,4,130 W Columbine Ave,Wildwood Crest,NJ,08260,"Long & Foster Real Estate, Inc Sh"
"$569,000",4,3+,,,100 E Raleigh Ave Unit 405,Lower Township,NJ,08260,Daniels Realty-Diamond Beach
"$545,000",3,2,,1,1102 Seaboard Cir,North Wildwood,NJ,08260,Long And Foster Real Estate Inc-Avalon
"$209,900",5,1,,,543 W Maple Ave,West Wildwood,NJ,08260,WEICHERT REALTORS HOEY GROUP/VILLAS
"$179,900",2,1,"1,104",,545 W Maple Ave,West Wildwood,NJ,08260,HOMESTEAD REAL ESTATE COMPANY INC.
"$84,900",1,1,,,225 E Wildwood Ave Unit 219,Wildwood,NJ,08260,Keller Williams
"$445,000",3,2,"1,150",2,408 E Louisville Ave Unit 102,Wildwood Crest,NJ,08260,Max Spann Real Estate
"$439,000",3,2,"1,639",,421 E 23rd Ave Unit 201,North Wildwood,NJ,08260,Weichert Coastal Realtors
"$439,000",3,2,"1,691",,421 E 23rd Ave Unit 103,North Wildwood,NJ,08260,Weichert Coastal Realtors
